scaffold,mean_shap
O=C(N(c1ccccc1)c1ccccc1)n1ccnn1,-0.00039269903
O=C(N1CCOCC1)n1ccnn1,-0.0006351847
O=C(N1CCCC1)n1ncc(-c2ccc(-c3ccccc3)cc2)n1,-0.0001445399
O=C(N1CCCC1)n1ncc(-c2ccc3ccccc3c2)n1,-0.00024455652
O=C(NCCN1CCN(c2ccccc2)CC1)Nc1ccccc1,-0.00033771043
O=C(c1cc2cc3c(nc2s1)CCOC3)N1CCOCC1,0.0003306208
O=C(CSc1ccccn1)Nc1cccc2cccnc12,-0.00051674445
c1ccc2c(c1)[nH]c1nc3nncn3nc12,-0.00042612042
c1ccc(Nc2nc(-n3cccn3)nc(-n3cccn3)n2)cc1,1.8335093e-05
N=C1CC(c2ccccc2)c2c(-c3ccccn3)n[nH]c2O1,-0.00023674528
O=C(Nc1ccccc1Oc1ccccc1)c1cnccn1,-0.00029397663
C(=Nn1cnnn1)c1ccccc1OCc1ccccc1,4.0451123e-05
O=C(Nc1ccccc1Oc1ccccc1)c1cnccn1,-0.000264971
O=C(Nc1ccc(Oc2ncnc3sc(-c4ccccc4)cc23)cc1)c1ccccc1,0.00056641817
c1ccc(CSc2ccc(-c3ccccn3)nn2)cc1,-0.00018602102
O=S(=O)(NCCNS(=O)(=O)c1ccc2c(c1)CCN2)c1ccc2c(c1)CCN2,-0.00041389064
c1ccc(Nc2ccccc2)cc1,6.33358e-05
O=C(Cn1ncc2ccccc2c1=O)c1ccn(C2CC2)c1,-0.00014029199
O=C(Nc1ccc2c(c1)OCO2)C1CCN(c2ccc(S(=O)(=O)N3CCOCC3)cc2)CC1,-0.00057485886
O=C1Nc2ccccc2OC1=Cc1ccccc1,0.00082070497
O=C(NC1CCSc2ccccc21)c1ccccc1,-4.3667947e-05
c1ccc(-n2ccc3ccccc32)cc1,0.00037777692
O=C(Nc1ccc2c(c1)OCO2)c1n[nH]c(=O)c2ccccc12,1.5452693e-05
O=C(CSc1nc(=O)cc(NS(=O)(=O)c2ccccc2)[nH]1)Nc1ccccc1,-0.00036710763
O=C1C(=Cc2ccc(-c3ccccc3)o2)C=NN1c1ccccc1,0.00079285435
O=C(COc1ccccc1)NCc1nc(-c2ccccc2)no1,-0.0002849696
O=C(Nc1ccccc1)Nc1ccc2c(c1)CCC2,0.0004940899
O=C(Nc1nnc(SCC(=O)N2CCOCC2)s1)C1CC(=O)N(c2ccccc2)C1,-0.0009107895
O=C(COC(=O)Cc1ccccc1)NCc1ccccc1,-0.00026834942
O=C(COC(=O)c1ccc(S(=O)(=O)N2CCCCC2)cc1)NCc1ccccc1,-0.0007443188
O=C(NCc1ccccc1)c1ccc(C(=O)NCc2ccccc2)cc1,-0.00021716856
O=C(NC1CCCCC1)C1C2C=CC3(O2)C(C(=O)NC2CCCC2)NC(=O)C13,-5.3262745e-05
O=C(COc1ccccc1)Nc1ccc(S(=O)(=O)Nc2ccon2)cc1,-0.0005789219
N=C1CC(c2ccccc2)c2c[nH]nc2O1,-0.00029773446
O=C(NCC1COCCO1)C1CCN(S(=O)(=O)c2ccccc2)CC1,-0.0008158552
O=c1nc[nH]c2c1C1(CCCCC1)Cc1ccccc1-2,0.00020206446
O=C(CSc1ncccc1-c1nc2ccccc2[nH]1)N1CCN(c2ccccc2)CC1,-0.00028628702
O=c1[nH]c2ccccc2cc1-c1ncon1,-0.00044885435
O=C(CSc1nc2[nH]c(=O)[nH]c(=O)c2[nH]1)NCc1ccco1,-0.0015481047
O=C(Cn1nnc2c(cnn2-c2ccccc2)c1=O)c1ccccc1,-0.0004581586
O=C(COc1ccccc1)NCc1cccnc1,-0.0008442976
O=C(CCC(=O)N(Cc1ccco1)C1(C(=O)NC2CCCCC2)CCNCC1)Nc1ccon1,-0.000819891
O=C(CSc1nnc2n1CCc1ccccc1-2)N1CCc2ccccc21,-0.00060478813
O=C(Nc1c(-c2ccccc2)nc2ccccn12)c1ccco1,-0.00038580407
O=C(NC1CCCC1)C1C2C=CC(C2)C1C(=O)N1CCOCC1,-0.0007033766
O=C(Nc1ccc2c(c1)oc1ccccc12)N1CCOCC1,-0.0003329939
O=C(CSc1nnc(Cn2cnc3ccccc32)o1)c1ccccc1,-0.0008804885
O=c1cccc[nH]1,-0.00032091042
O=C(NC1CCCCC1)c1ccc(CNc2ccccc2)o1,-0.00050513045
O=C(Cn1nnc2ccccc21)N(Cc1cccs1)CC1CCCO1,-0.0011698366
O=C(CN1C(=O)COc2ccccc21)Nc1ccc2c(c1)OCCO2,-0.0005115841
O=C(CN1CCC(n2nnc3ccccc32)CC1)Nc1ccccc1,-0.0011357311
O=c1[nH]c2ccccc2cc1CN(Cc1ccccc1)Cc1nnnn1C1CCCC1,-0.0013674062
O=C(Nc1nccs1)c1ccccc1,-4.2325555e-05
O=C(Cn1nc(-c2ccccc2)ccc1=O)NCC1COCCO1,-0.0002764809
O=C(CSc1nncn1-c1ccccc1)Nc1ccccc1,-0.0006106077
O=C1CCCC(=NCCCN2CCCC2=O)C1,-0.0005062115
O=C(c1ncn(S(=O)(=O)c2ccccc2)n1)N1CCOCC1,-0.00012575749
O=C(Cn1ncc2c1CCC2)NCc1ccccc1,-0.0003574832
O=C(Nc1ccc(NC(=O)C2CC2)cn1)c1ccccc1,-5.8048186e-05
c1cn[nH]c1,-0.00061557034
C(=[NH+]C1CCCCC1[NH+]=Cc1ccccc1)c1ccccc1,0.0008178514
c1cc2[nH]cnc2c(N2CCCCC2)n1,-0.00044057428
O=c1[nH]c(=O)c2[nH]cnc2[nH]1,-0.0004423255
O=c1[nH]c(=O)c2c(ncn2Cc2ccccc2)[nH]1,-0.0006375438
c1c(NCC2CCCO2)ncc2c1CCOC2,-0.00031314837
C1=Nc2c(NCc3ccccc3)ncnc2Oc2ccccc21,-0.00025521318
O=C(CN1CCN(C2CCCCC2)CC1)c1c[nH]c2ccccc12,-0.0005013088
O=C1c2ccccc2CN1CCNS(=O)(=O)c1ccccc1,8.666805e-05
O=C(CN1CCCCC1)Nc1c[nH]c2cc3c(cc12)OCO3,-0.00045509322
O=c1[nH]cnc2c1C1(CCCC1)Cc1ccccc1-2,-0.00028180928
O=c1cc[nH]c(=O)n1CCC1=CCCCC1,-3.5672012e-05
c1ccccc1,-6.93756e-05
c1ccccc1,-0.00013521069
O=C(Cc1nc2ccccc2nc1N1CCCCC1)OC1CCCCC1,-2.5040674e-05
c1ccc2nc3c(ccn3CC3CCCO3)nc2c1,-0.00032373948
c1ccc2c(-c3ncc(N4CCCCC4)o3)cccc2c1,0.00010591485
O=C(NCc1cc2ccccc2[nH]c1=O)c1ccccc1,-0.0004731568
O=c1[nH]cc(C=NC2CCCCC2)c(=O)[nH]1,-4.0266474e-05
O=C(Nc1ccc2[nH]c(-c3ccco3)nc2c1)c1cccs1,0.0006262483
O=C1Nc2ccccc2C12Nc1ccccc1-c1nc3ccccc3n12,0.00033921894
O=C(CSc1nc2cccnc2[nH]1)Nc1ccc2c(c1)OCCO2,-0.0008524478
c1ccc(-c2cnn3cccnc23)cc1,-4.209522e-05
O=c1[nH]c2ccc(S(=O)(=O)Nc3ccc4c(c3)OCCO4)cc2o1,-5.5263336e-05
O=C(CCc1nc(-c2ccccc2)no1)Nc1ccccc1,-0.00061759196
