scaffold,mean_shap
O=C(N(c1ccccc1)c1ccccc1)n1ccnn1,-0.00053388136
O=C(N1CCOCC1)n1ccnn1,-0.0006145615
O=C(N1CCCC1)n1ncc(-c2ccc(-c3ccccc3)cc2)n1,4.4016837e-05
O=C(N1CCCC1)n1ncc(-c2ccc3ccccc3c2)n1,-0.00021142208
O=C(NCCN1CCN(c2ccccc2)CC1)Nc1ccccc1,-0.00021443363
O=C(c1cc2cc3c(nc2s1)CCOC3)N1CCOCC1,0.00022568343
O=C(CSc1ccccn1)Nc1cccc2cccnc12,-0.0005876359
c1ccc2c(c1)[nH]c1nc3nncn3nc12,-0.000350549
c1ccc(Nc2nc(-n3cccn3)nc(-n3cccn3)n2)cc1,-0.00010398061
C1=CC(c2ccccc2)c2c(n[nH]c2-c2ccccn2)O1,1.0478165e-05
O=C(Nc1ccccc1Oc1ccccc1)c1cnccn1,-0.00020529481
C(=N/n1cnnn1)\c1ccccc1OCc1ccccc1,0.00026848243
O=C(Nc1ccccc1Oc1ccccc1)c1cnccn1,-0.00015216434
O=C(Nc1ccc(Oc2ncnc3sc(-c4ccccc4)cc23)cc1)c1ccccc1,0.00056277076
c1ccc(CSc2ccc(-c3ccccn3)nn2)cc1,-2.8176612e-05
O=S(=O)(NCCNS(=O)(=O)c1ccc2c(c1)CCN2)c1ccc2c(c1)CCN2,-0.00043168286
c1ccc(Nc2ccccc2)cc1,2.955697e-05
O=C(Cn1ncc2ccccc2c1=O)c1ccn(C2CC2)c1,-6.714948e-05
O=C(Nc1ccc2c(c1)OCO2)C1CCN(c2ccc(S(=O)(=O)N3CCOCC3)cc2)CC1,-0.0007096651
O=C1Nc2ccccc2O/C1=C\c1ccccc1,0.00085569953
O=C(NC1CCSc2ccccc21)c1ccccc1,0.00017139554
c1ccc(-n2ccc3ccccc32)cc1,0.00018260247
O=C(Nc1ccc2c(c1)OCO2)c1n[nH]c(=O)c2ccccc12,-6.6432825e-05
O=C(CSc1nc(NS(=O)(=O)c2ccccc2)cc(=O)[nH]1)Nc1ccccc1,-0.00041424262
O=C1/C(=C/c2ccc(-c3ccccc3)o2)C=NN1c1ccccc1,0.00065524323
O=C(COc1ccccc1)NCc1nc(-c2ccccc2)no1,-0.00021586618
O=C(Nc1ccccc1)Nc1ccc2c(c1)CCC2,0.0004044572
O=C(Nc1nnc(SCC(=O)N2CCOCC2)s1)C1CC(=O)N(c2ccccc2)C1,-0.0009428933
O=C(COC(=O)Cc1ccccc1)NCc1ccccc1,-0.00022118985
O=C(COC(=O)c1ccc(S(=O)(=O)N2CCCCC2)cc1)NCc1ccccc1,-0.0007389601
O=C(NCc1ccccc1)c1ccc(C(=O)NCc2ccccc2)cc1,-0.00012770212
O=C(NC1CCCCC1)C1C2C=CC3(O2)C(C(=O)NC2CCCC2)NC(=O)C13,-0.00044247083
O=C(COc1ccccc1)Nc1ccc(S(=O)(=O)Nc2ccon2)cc1,-0.00047601716
C1=CC(c2ccccc2)c2c[nH]nc2O1,-0.00026892344
O=C(NCC1COCCO1)C1CCN(S(=O)(=O)c2ccccc2)CC1,-0.0008564183
O=c1[nH]cnc2c1C1(CCCCC1)Cc1ccccc1-2,1.8144834e-05
O=C(CSc1ncccc1-c1nc2ccccc2[nH]1)N1CCN(c2ccccc2)CC1,-0.0005684496
O=c1[nH]c2ccccc2cc1-c1ncon1,-0.00029080972
O=C(CSc1nc2[nH]c(=O)[nH]c(=O)c2[nH]1)NCc1ccco1,-0.001250102
O=C(Cn1nnc2c(cnn2-c2ccccc2)c1=O)c1ccccc1,-0.00052087684
O=C(COc1ccccc1)NCc1cccnc1,-0.0008246174
O=C(CCC(=O)N(Cc1ccco1)C1(C(=O)NC2CCCCC2)CCNCC1)Nc1ccon1,-0.0010046406
O=C(CSc1nnc2n1CCc1ccccc1-2)N1CCc2ccccc21,-0.0005874834
O=C(Nc1c(-c2ccccc2)nc2ccccn12)c1ccco1,-0.0005117024
