Accuracy,Balanced Accuracy,AUROC,AUPRC,MCC,Precision,Sensitivity,Specificity,F1,Model,Run,Seed
0.937278107,0.936512472,0.986634057,0.981875168,0.880305603,0.893081761,0.995327103,0.877697842,0.941436464,BiLSTM_ECFP,1,42
0.928994083,0.928273269,0.980123378,0.977910794,0.862908507,0.888185654,0.98364486,0.872901679,0.933481153,BiLSTM_ECFP,2,43
0.927810651,0.927043412,0.985961698,0.984968946,0.861209546,0.884696017,0.985981308,0.868105516,0.932596685,BiLSTM_ECFP,3,44
0.844970414,0.843696071,0.941294628,0.943696702,0.702208279,0.791748527,0.941588785,0.745803357,0.860192102,BiLSTM_ESTATE,1,42
0.829585799,0.828200991,0.930929089,0.93735175,0.673033986,0.775193798,0.934579439,0.721822542,0.847457627,BiLSTM_ESTATE,2,43
0.830769231,0.829523297,0.93139974,0.939213678,0.672579618,0.781065089,0.925233645,0.73381295,0.847058824,BiLSTM_ESTATE,3,44
0.920710059,0.920496313,0.972971156,0.968754893,0.841728676,0.909297052,0.936915888,0.904076739,0.922899885,BiLSTM_MACCS,1,42
0.882840237,0.881572312,0.976540263,0.976743359,0.77959354,0.823182711,0.978971963,0.784172662,0.89434365,BiLSTM_MACCS,2,43
0.89704142,0.896361416,0.968777315,0.96383877,0.797930423,0.861995754,0.948598131,0.8441247,0.903225806,BiLSTM_MACCS,3,44
0.659171598,0.656740962,0.760060176,0.7489255,0.338503412,0.620274914,0.843457944,0.470023981,0.714851485,BiLSTM_PHYCHEM,1,42
0.643786982,0.643680383,0.728588158,0.716668027,0.287394583,0.647331787,0.651869159,0.635491607,0.649592549,BiLSTM_PHYCHEM,2,43
0.671005917,0.667591161,0.784125036,0.798517023,0.39493736,0.616099071,0.929906542,0.405275779,0.741154562,BiLSTM_PHYCHEM,3,44
0.915976331,0.91526872,0.973228894,0.960597946,0.836463676,0.877378436,0.969626168,0.860911271,0.921198668,BiLSTM_RDKIT,1,42
0.910059172,0.90958168,0.968306663,0.963704379,0.822000742,0.884279476,0.946261682,0.872901679,0.914221219,BiLSTM_RDKIT,2,43
0.914792899,0.914100495,0.974892983,0.970619843,0.833873634,0.877118644,0.96728972,0.860911271,0.92,BiLSTM_RDKIT,3,44
0.785624608,0.78559235,0.864359869,0.872311271,0.571961135,0.800662252,0.759899434,0.811285266,0.779748468,LGBM_ECFP,1,42
0.789704959,0.789678619,0.865205141,0.870496214,0.579885345,0.801967213,0.768698931,0.810658307,0.784980745,LGBM_ECFP,2,43
0.784055242,0.7840218,0.863122501,0.867287331,0.568872749,0.799601858,0.757385292,0.810658307,0.77792124,LGBM_ECFP,3,44
0.77997489,0.779932378,0.859681122,0.866958888,0.561179548,0.799865229,0.746071653,0.813793103,0.77203252,LGBM_ESTATE,1,42
0.778091651,0.778049924,0.859102633,0.866409391,0.557358136,0.797442799,0.744814582,0.811285266,0.770230744,LGBM_ESTATE,2,43
0.783113622,0.783068751,0.859700825,0.868045352,0.567618063,0.804465494,0.747328724,0.818808777,0.774845226,LGBM_ESTATE,3,44
0.777150031,0.777103968,0.856845225,0.864240817,0.555734245,0.798644068,0.740414833,0.813793103,0.768427919,LGBM_MACCS,1,42
0.778405524,0.778360251,0.856143787,0.864165233,0.558201977,0.799593771,0.74230044,0.814420063,0.76988266,LGBM_MACCS,2,43
0.774639046,0.774587462,0.858007326,0.864724647,0.551069626,0.798767967,0.733500943,0.815673981,0.76474443,LGBM_MACCS,3,44
0.692404269,0.692360437,0.773051786,0.77644405,0.385674977,0.706279541,0.657448146,0.727272727,0.680989583,LGBM_PHYCHEM,1,42
0.697112367,0.697057114,0.775474702,0.778721366,0.395666875,0.715564738,0.653048397,0.741065831,0.682878738,LGBM_PHYCHEM,2,43
0.692404269,0.692362013,0.774385897,0.777395935,0.38561095,0.705723906,0.658705217,0.726018809,0.681404421,LGBM_PHYCHEM,3,44
0.799748901,0.799714696,0.879429944,0.885740084,0.60034564,0.816611296,0.772470145,0.826959248,0.793927649,LGBM_RDKIT,1,42
0.801632141,0.801601879,0.881884188,0.887427487,0.603927674,0.81650165,0.777498429,0.825705329,0.796522859,LGBM_RDKIT,2,43
0.798179535,0.798154391,0.881038916,0.888382578,0.596805338,0.810209424,0.778126964,0.818181818,0.793844181,LGBM_RDKIT,3,44
0.80351538,0.803505612,0.877104165,0.877852227,0.607091613,0.80791321,0.795725959,0.811285266,0.801773274,RF_ECFP,1,42
0.81136221,0.81134812,0.877540988,0.879618161,0.622863782,0.818123393,0.800125707,0.822570533,0.809024468,RF_ECFP,2,43
0.807595731,0.807581636,0.879134788,0.879245952,0.615328786,0.814267352,0.796354494,0.818808777,0.805211312,RF_ECFP,3,44
0.787507847,0.787483474,0.862856901,0.868148377,0.57541666,0.79869281,0.768070396,0.806896552,0.783082345,RF_ESTATE,1,42
0.784369115,0.784347889,0.862740651,0.868026433,0.56903459,0.793888166,0.76744186,0.801253918,0.780441035,RF_ESTATE,2,43
0.785624608,0.785599444,0.863001523,0.868680313,0.571674533,0.797120419,0.765556254,0.805642633,0.781019558,RF_ESTATE,3,44
0.785624608,0.785578164,0.863195601,0.866034998,0.572756207,0.808005427,0.748585795,0.822570533,0.777161501,RF_MACCS,1,42
0.784682988,0.784643242,0.862923301,0.866484999,0.570456632,0.803487592,0.752985544,0.81630094,0.777417262,RF_MACCS,2,43
0.787507847,0.787461406,0.862864191,0.864878081,0.576533242,0.810040706,0.750471402,0.824451411,0.779119086,RF_MACCS,3,44
