,BiLSTM_ECFP,BiLSTM_ESTATE,BiLSTM_MACCS,BiLSTM_PHYCHEM,BiLSTM_RDKIT,XGB_ECFP,XGB_ESTATE,XGB_MACCS,XGB_PHYCHEM,XGB_RDKIT
BiLSTM_ECFP,1.0,0.6428348264908041,0.6764114467845957,0.21053524265531964,0.43048842826195144,0.07051601464805525,0.1941262536775532,0.05725887099394218,0.403869739467297,0.01227320927493703
BiLSTM_ESTATE,0.6428348264908041,1.0,0.37826158551626776,0.08619244498685286,0.7454707874708307,0.17867600607743217,0.4038697394672972,0.1505502561617013,0.1941262536775531,0.04130541264712866
BiLSTM_MACCS,0.6764114467845957,0.37826158551626776,1.0,0.403869739467297,0.2279250353041128,0.026017751800914903,0.08619244498685291,0.020411608113012743,0.6764114467845957,0.0034828872638174757
BiLSTM_PHYCHEM,0.21053524265531964,0.08619244498685286,0.403869739467297,1.0,0.04130541264712866,0.0022083740067961586,0.010754879833348432,0.0016136696873491258,0.6764114467845957,0.0001724542549388899
BiLSTM_RDKIT,0.43048842826195144,0.7454707874708307,0.2279250353041128,0.04130541264712866,1.0,0.3076214930248121,0.6099724484930922,0.26571987542481734,0.10457099306437272,0.08619244498685291
XGB_ECFP,0.07051601464805525,0.17867600607743217,0.026017751800914903,0.0022083740067961586,0.3076214930248121,1.0,0.609972448493092,0.9261039382952406,0.008209941555700205,0.4866741395092947
XGB_ESTATE,0.1941262536775532,0.4038697394672972,0.08619244498685291,0.010754879833348432,0.6099724484930922,0.609972448493092,1.0,0.5466014522619302,0.03290841165205664,0.2279250353041128
XGB_MACCS,0.05725887099394218,0.1505502561617013,0.020411608113012743,0.0016136696873491258,0.26571987542481734,0.9261039382952406,0.5466014522619302,1.0,0.006217978477888536,0.5466014522619307
XGB_PHYCHEM,0.403869739467297,0.1941262536775531,0.6764114467845957,0.6764114467845957,0.10457099306437272,0.008209941555700205,0.03290841165205664,0.006217978477888536,1.0,0.0008410476690766453
XGB_RDKIT,0.01227320927493703,0.04130541264712866,0.0034828872638174757,0.0001724542549388899,0.08619244498685291,0.4866741395092947,0.2279250353041128,0.5466014522619307,0.0008410476690766453,1.0
