,BiLSTM_ECFP,BiLSTM_ESTATE,BiLSTM_MACCS,BiLSTM_PHYCHEM,BiLSTM_RDKIT,XGB_ECFP,XGB_ESTATE,XGB_MACCS,XGB_PHYCHEM,XGB_RDKIT
BiLSTM_ECFP,1.0,0.4866741395092947,0.6764114467845957,0.21053524265531964,0.577878201180485,0.03690395361371817,0.1941262536775532,0.10457099306437272,0.403869739467297,0.01227320927493703
BiLSTM_ESTATE,0.4866741395092947,1.0,0.26571987542481734,0.05145046758122026,0.889354005564373,0.16415972847851523,0.5466014522619307,0.35367851731846456,0.12593299883737746,0.07051601464805525
BiLSTM_MACCS,0.6764114467845957,0.26571987542481734,1.0,0.403869739467297,0.3301301880045576,0.01227320927493703,0.08619244498685291,0.04130541264712866,0.6764114467845957,0.0034828872638174757
BiLSTM_PHYCHEM,0.21053524265531964,0.05145046758122026,0.403869739467297,1.0,0.07051601464805525,0.0008410476690766453,0.010754879833348432,0.004037957496947656,0.6764114467845957,0.0001724542549388899
BiLSTM_RDKIT,0.577878201180485,0.889354005564373,0.3301301880045576,0.07051601464805525,1.0,0.12593299883737746,0.45809810020177266,0.2861527443424998,0.16415972847851523,0.05145046758122026
XGB_ECFP,0.03690395361371817,0.16415972847851523,0.01227320927493703,0.0008410476690766453,0.12593299883737746,1.0,0.43048842826195144,0.6428348264908044,0.0034828872638174757,0.6764114467845957
XGB_ESTATE,0.1941262536775532,0.5466014522619307,0.08619244498685291,0.010754879833348432,0.45809810020177266,0.43048842826195144,1.0,0.7454707874708305,0.03290841165205664,0.2279250353041128
XGB_MACCS,0.10457099306437272,0.35367851731846456,0.04130541264712866,0.004037957496947656,0.2861527443424998,0.6428348264908044,0.7454707874708305,1.0,0.013978471515419014,0.37826158551626776
XGB_PHYCHEM,0.403869739467297,0.12593299883737746,0.6764114467845957,0.6764114467845957,0.16415972847851523,0.0034828872638174757,0.03290841165205664,0.013978471515419014,1.0,0.0008410476690766453
XGB_RDKIT,0.01227320927493703,0.07051601464805525,0.0034828872638174757,0.0001724542549388899,0.05145046758122026,0.6764114467845957,0.2279250353041128,0.37826158551626776,0.0008410476690766453,1.0
