,BiLSTM_ECFP,BiLSTM_ESTATE,BiLSTM_MACCS,BiLSTM_PHYCHEM,BiLSTM_RDKIT,XGB_ECFP,XGB_ESTATE,XGB_MACCS,XGB_PHYCHEM,XGB_RDKIT
BiLSTM_ECFP,1.0,0.5011725924780006,0.8165792859206182,0.24615699567846117,0.4303345283809187,0.029235193536658568,0.13164294926441972,0.11474061951678911,0.45794801946942565,0.009382179559428012
BiLSTM_ESTATE,0.5011725924780006,1.0,0.3656811704856041,0.0668947939258002,0.9076735985082952,0.13164294926441972,0.40371280729207004,0.3656811704856039,0.1571048967236201,0.0542094748715455
BiLSTM_MACCS,0.8165792859206182,0.3656811704856041,1.0,0.35351783543894977,0.30746001259656985,0.015854520616488205,0.08192902128344443,0.07042218535535737,0.6098531427252492,0.0046584138558764185
BiLSTM_PHYCHEM,0.24615699567846117,0.0668947939258002,0.35351783543894977,1.0,0.05137266243966413,0.0008376788668760298,0.007644315450162149,0.006200738646207085,0.6763095414699856,0.000171592512568184
BiLSTM_RDKIT,0.4303345283809187,0.9076735985082952,0.30746001259656985,0.05137266243966413,1.0,0.16401896546804184,0.4721191863395643,0.43033452838091846,0.1258066439869232,0.07042218535535741
XGB_ECFP,0.029235193536658568,0.13164294926441972,0.015854520616488205,0.0008376788668760298,0.16401896546804184,1.0,0.5011725924780006,0.5464675495343094,0.0034719965174931787,0.6763095414699856
XGB_ESTATE,0.13164294926441972,0.40371280729207004,0.08192902128344443,0.007644315450162149,0.4721191863395643,0.5011725924780006,1.0,0.944524725475439,0.024456273964087994,0.2756469626389324
XGB_MACCS,0.11474061951678911,0.3656811704856039,0.07042218535535737,0.006200738646207085,0.43033452838091846,0.5464675495343094,0.944524725475439,1.0,0.02036964047211287,0.30746001259656985
XGB_PHYCHEM,0.45794801946942565,0.1571048967236201,0.6098531427252492,0.6763095414699856,0.1258066439869232,0.0034719965174931787,0.024456273964087994,0.02036964047211287,1.0,0.0008376788668760298
XGB_RDKIT,0.009382179559428012,0.0542094748715455,0.0046584138558764185,0.000171592512568184,0.07042218535535741,0.6763095414699856,0.2756469626389324,0.30746001259656985,0.0008376788668760298,1.0
