,BiLSTM_ECFP,BiLSTM_ESTATE,BiLSTM_MACCS,BiLSTM_PHYCHEM,BiLSTM_RDKIT,XGB_ECFP,XGB_ESTATE,XGB_MACCS,XGB_PHYCHEM,XGB_RDKIT
BiLSTM_ECFP,1.0,0.5466014522619307,0.8166394149407488,0.24631467349176095,0.4038697394672972,0.029289142104225327,0.12593299883737746,0.11486175142738327,0.45809810020177266,0.009405895046813257
BiLSTM_ESTATE,0.5466014522619307,1.0,0.403869739467297,0.07803419406812541,0.816639414940749,0.11486175142738327,0.3536785173184648,0.3301301880045575,0.17867600607743217,0.04614361282007049
BiLSTM_MACCS,0.8166394149407488,0.403869739467297,1.0,0.3536785173184648,0.28615274434249993,0.015889567669114465,0.07803419406812541,0.07051601464805518,0.6099724484930922,0.004672182698701952
BiLSTM_PHYCHEM,0.24631467349176095,0.07803419406812541,0.3536785173184648,1.0,0.04614361282007049,0.0008410476690766453,0.0071519365302626405,0.006217978477888536,0.6764114467845957,0.0001724542549388899
BiLSTM_RDKIT,0.4038697394672972,0.816639414940749,0.28615274434249993,0.04614361282007049,1.0,0.17867600607743195,0.4866741395092947,0.45809810020177233,0.11486175142738327,0.07803419406812541
XGB_ECFP,0.029289142104225327,0.11486175142738327,0.015889567669114465,0.0008410476690766453,0.17867600607743195,1.0,0.5161868449713254,0.5466014522619307,0.0034828872638174757,0.6764114467845957
XGB_ESTATE,0.12593299883737746,0.3536785173184648,0.07803419406812541,0.0071519365302626405,0.4866741395092947,0.5161868449713254,1.0,0.9630122472168839,0.023067154124677632,0.2861527443424998
XGB_MACCS,0.11486175142738327,0.3301301880045575,0.07051601464805518,0.006217978477888536,0.45809810020177233,0.5466014522619307,0.9630122472168839,1.0,0.020411608113012743,0.3076214930248121
XGB_PHYCHEM,0.45809810020177266,0.17867600607743217,0.6099724484930922,0.6764114467845957,0.11486175142738327,0.0034828872638174757,0.023067154124677632,0.020411608113012743,1.0,0.0008410476690766453
XGB_RDKIT,0.009405895046813257,0.04614361282007049,0.004672182698701952,0.0001724542549388899,0.07803419406812541,0.6764114467845957,0.2861527443424998,0.3076214930248121,0.0008410476690766453,1.0
