,BiLSTM_ECFP,BiLSTM_ESTATE,BiLSTM_MACCS,BiLSTM_PHYCHEM,BiLSTM_RDKIT,XGB_ECFP,XGB_ESTATE,XGB_MACCS,XGB_PHYCHEM,XGB_RDKIT
BiLSTM_ECFP,1.0,0.4303858419180696,0.150459449084173,0.45799806001533994,0.006206482386601308,0.17120749380568223,0.10954197257556704,0.07045346083898539,0.8165993354986492,0.009390081426415845
BiLSTM_ESTATE,0.4303858419180696,1.0,0.5160934748807597,0.12584876535055944,0.05139859519268319,0.5620477289521897,0.41695020840344577,0.3075138511386203,0.3075138511386203,0.07045346083898539
BiLSTM_MACCS,0.150459449084173,0.5160934748807597,1.0,0.029253172886171595,0.19402703567546098,0.9445308893852272,0.8710343890381205,0.7105826553160469,0.09495269578848686,0.24620956463169363
BiLSTM_PHYCHEM,0.45799806001533994,0.12584876535055944,0.029253172886171595,1.0,0.0005036347610577516,0.03481689909645266,0.019160034551788045,0.010737379244839185,0.6098929234390568,0.0008388007823940104
BiLSTM_RDKIT,0.006206482386601308,0.05139859519268319,0.19402703567546098,0.0005036347610577516,1.0,0.17120749380568223,0.2557836990776059,0.3535714088171995,0.0029917003598835114,0.8893295405027561
XGB_ECFP,0.17120749380568223,0.5620477289521897,0.9445308893852272,0.03481689909645266,0.17120749380568223,1.0,0.8165993354986493,0.6594664043732779,0.10954197257556704,0.21900374123774535
XGB_ESTATE,0.10954197257556704,0.41695020840344577,0.8710343890381205,0.019160034551788045,0.2557836990776059,0.8165993354986493,1.0,0.8346598436882604,0.06692516059984406,0.3186380763087203
XGB_MACCS,0.07045346083898539,0.3075138511386203,0.7105826553160469,0.010737379244839185,0.3535714088171995,0.6594664043732779,0.8346598436882604,1.0,0.041260247791263104,0.4303858419180696
XGB_PHYCHEM,0.8165993354986492,0.3075138511386203,0.09495269578848686,0.6098929234390568,0.0029917003598835114,0.10954197257556704,0.06692516059984406,0.041260247791263104,1.0,0.004663000914206005
XGB_RDKIT,0.009390081426415845,0.07045346083898539,0.24620956463169363,0.0008388007823940104,0.8893295405027561,0.21900374123774535,0.3186380763087203,0.4303858419180696,0.004663000914206005,1.0
