Index,MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,NumAromaticRings,NumSaturatedRings,NumHeteroatoms,RingCount,HeavyAtomCount,NumAliphaticRings
7599,462.54200000000014,3.6099000000000023,5.0,6.0,110.38000000000001,7.0,2.0,0.0,6.0,4.0,34.0,2.0
7600,462.54200000000014,3.6099000000000023,5.0,6.0,110.38000000000001,7.0,2.0,0.0,6.0,4.0,34.0,2.0
7601,446.54300000000023,4.637500000000005,4.0,5.0,90.15,6.0,2.0,0.0,5.0,4.0,33.0,2.0
13748,394.3780000000001,2.2111,1.0,7.0,91.14,8.0,3.0,0.0,10.0,3.0,28.0,0.0
15468,494.3920000000001,3.481700000000002,1.0,7.0,91.14,9.0,3.0,0.0,14.0,3.0,34.0,0.0
9793,307.39,2.9902000000000015,1.0,5.0,75.96000000000001,3.0,0.0,1.0,5.0,2.0,22.0,2.0
9476,351.388,0.2101,1.0,7.0,106.42000000000002,5.0,2.0,1.0,10.0,3.0,24.0,1.0
9064,394.47100000000023,3.2996200000000018,1.0,5.0,67.87,5.0,2.0,1.0,6.0,4.0,29.0,2.0
10697,313.3380000000001,3.2407000000000012,2.0,5.0,84.23,4.0,3.0,0.0,7.0,3.0,22.0,0.0
13733,298.367,3.236300000000001,1.0,4.0,55.13,5.0,3.0,0.0,5.0,3.0,21.0,0.0
387,302.33700000000005,3.8969000000000023,1.0,5.0,63.84,4.0,4.0,0.0,5.0,4.0,23.0,0.0
3282,376.46000000000015,3.080520000000001,1.0,5.0,61.46,4.0,3.0,1.0,6.0,4.0,28.0,1.0
11388,403.4560000000002,2.9704000000000015,1.0,6.0,102.67999999999999,6.0,2.0,0.0,8.0,3.0,28.0,1.0
2237,399.45000000000016,5.363020000000005,1.0,5.0,77.25,6.0,4.0,0.0,6.0,4.0,30.0,0.0
8461,426.49800000000016,2.737300000000001,1.0,8.0,95.34000000000002,9.0,3.0,0.0,9.0,3.0,30.0,0.0
8593,524.6330000000004,3.799800000000003,2.0,5.0,95.94,8.0,2.0,0.0,8.0,3.0,38.0,1.0
9956,389.41900000000015,1.8817199999999998,1.0,8.0,107.59,5.0,4.0,0.0,9.0,4.0,29.0,0.0
9132,329.35900000000004,4.450520000000003,1.0,4.0,68.02000000000001,3.0,4.0,0.0,5.0,4.0,25.0,0.0
8804,381.47600000000017,3.820020000000002,2.0,3.0,70.67,5.0,2.0,1.0,6.0,3.0,28.0,1.0
12350,351.4500000000001,3.7297400000000023,2.0,2.0,61.440000000000005,3.0,2.0,1.0,5.0,3.0,26.0,1.0
2889,395.52500000000026,2.7089000000000008,0.0,6.0,83.75999999999999,7.0,1.0,2.0,8.0,3.0,27.0,2.0
2912,364.5550000000001,3.1091200000000017,0.0,4.0,40.620000000000005,6.0,1.0,2.0,5.0,3.0,25.0,2.0
7079,394.55500000000006,5.668100000000007,1.0,3.0,50.44,1.0,1.0,2.0,3.0,5.0,29.0,4.0
7080,436.59200000000027,6.238900000000007,0.0,4.0,56.510000000000005,2.0,1.0,2.0,4.0,5.0,32.0,4.0
7081,452.5910000000003,5.209700000000006,1.0,5.0,76.74000000000001,2.0,1.0,2.0,5.0,5.0,33.0,4.0
392,348.45000000000016,3.1580200000000005,2.0,3.0,75.00999999999999,4.0,3.0,1.0,5.0,4.0,26.0,1.0
3444,217.18800000000005,2.7333,1.0,5.0,96.53999999999999,3.0,2.0,0.0,7.0,2.0,16.0,0.0
12087,370.4050000000002,2.3273,1.0,6.0,77.1,6.0,2.0,1.0,7.0,3.0,27.0,1.0
14055,340.3790000000002,2.3187000000000006,1.0,5.0,67.87,5.0,2.0,1.0,6.0,3.0,25.0,1.0
5508,397.47900000000016,2.6523200000000005,2.0,7.0,88.61000000000001,5.0,2.0,2.0,8.0,4.0,29.0,2.0
5631,367.4530000000001,2.643720000000001,2.0,6.0,79.38000000000001,4.0,2.0,2.0,7.0,4.0,27.0,2.0
5638,405.42400000000026,3.653920000000002,2.0,5.0,70.15,3.0,2.0,2.0,9.0,4.0,29.0,2.0
5740,355.4170000000002,2.7742199999999997,2.0,5.0,70.15,3.0,2.0,2.0,7.0,4.0,26.0,2.0
5814,337.42700000000013,2.6351200000000006,2.0,5.0,70.15,3.0,2.0,2.0,6.0,4.0,25.0,2.0
5835,393.5350000000003,3.932620000000002,2.0,5.0,70.15,3.0,2.0,2.0,6.0,4.0,29.0,2.0
6115,385.4430000000001,2.782820000000001,2.0,6.0,79.38000000000001,4.0,2.0,2.0,8.0,4.0,28.0,2.0
6384,427.5050000000002,2.660920000000001,2.0,8.0,97.84000000000002,6.0,2.0,2.0,9.0,4.0,31.0,2.0
6426,382.46800000000013,2.2259199999999995,3.0,7.0,105.4,4.0,2.0,2.0,8.0,4.0,28.0,2.0
6535,370.43200000000024,2.35642,3.0,6.0,96.16999999999999,3.0,2.0,2.0,8.0,4.0,27.0,2.0
6755,382.42400000000026,2.5433200000000005,2.0,7.0,113.28999999999999,4.0,2.0,2.0,9.0,4.0,28.0,2.0
8853,183.26099999999997,1.8488,1.0,5.0,51.8,1.0,2.0,0.0,5.0,2.0,11.0,0.0
9720,281.406,3.641300000000002,1.0,5.0,54.88,5.0,2.0,0.0,6.0,2.0,18.0,0.0
11509,281.406,3.641300000000002,1.0,5.0,54.88,3.0,2.0,0.0,6.0,2.0,18.0,0.0
