ligand	best_affinity_kcal_per_mol	Ki_estimated_M	error
Ligand_1	-6.604	1.457e-05	
Ligand_10	-6.983	7.689e-06	
Ligand_11	-6.901	8.829e-06	
Ligand_12	-7.36	4.072e-06	
Ligand_13	-7.087	6.452e-06	
Ligand_14	-7.298	4.520e-06	
Ligand_15	-7.368	4.017e-06	
Ligand_16	-6.818	1.016e-05	
Ligand_17	-7.006	7.397e-06	
Ligand_18	-7.335	4.247e-06	
Ligand_19	-6.566	1.553e-05	
Ligand_2	-6.543	1.615e-05	
Ligand_20	-7.027	7.139e-06	
Ligand_3	-7.474	3.360e-06	
Ligand_4	-6.287	2.487e-05	
Ligand_5	-7.27	4.739e-06	
Ligand_6	-7.221	5.147e-06	
Ligand_7	-7.458	3.451e-06	
Ligand_8	-6.996	7.522e-06	
Ligand_9	-6.632	1.390e-05	
