ligand	best_affinity_kcal_per_mol	Ki_estimated_M	error
Ligand_1	-7.018	7.248e-06	
Ligand_10	-7.667	2.426e-06	
Ligand_11	-7.641	2.535e-06	
Ligand_12	-7.208	5.261e-06	
Ligand_13	-7.449	3.504e-06	
Ligand_14	-7.947	1.513e-06	
Ligand_15	-8.073	1.223e-06	
Ligand_16	-7.638	2.548e-06	
Ligand_17	-7.271	4.731e-06	
Ligand_18	-7.382	3.923e-06	
Ligand_19	-7.131	5.991e-06	
Ligand_2	-7.681	2.370e-06	
Ligand_20	-7.697	2.307e-06	
Ligand_3	-7.639	2.544e-06	
Ligand_4	-7.609	2.676e-06	
Ligand_5	-7.582	2.800e-06	
Ligand_6	-7.726	2.196e-06	
Ligand_7	-8.017	1.345e-06	
Ligand_8	-7.525	3.083e-06	
Ligand_9	-7.628	2.591e-06	
