Inflam_id,SMILES,Can_Smi,ChEMBL_ID,PubChem_CID,InChiKey,IUPAC,Name,Synonyms,Compound_class,Mol_Form,MW,AlogP,HB_acc,HB_don,Rot_bond,Origin,Ref,Model,Activ_type,Units,Cytotox,NO ,PGE2,IL-1beta,IL-6,IL-12,TNFalpha,Notes,Unnamed: 29,NO_raw,raw_smiles_null,canonical_smiles,y_label,y,duplicate_count
IN0580,C1CN=C(C2=C1C3=CC=CC=C3N2)C=CC4=CC=CC=C4,C(=Cc1ccccc1)C1=NCCc2c1[nH]c1ccccc21,,134820689,KMRYROICZMYJSD-KHPPLWFESA-N,"1-(2-phenylethenyl)-4,9-dihydro-3H-pyrido[3,4-b]indole",Benzalharman,benzalharman,Alkaloid,C19H16N2,272.344,4.622,1,1,2,,"Liu, P.; Li, H.; Luan, R.; Huang, G.; Liu, Y.; Wang, M.; Chao, Q.; Wang, L.; Li, D.; Fan, H.; Chen, D.; Li, L.; Matsuzaki, K.; Li, W.; Koike, K.; Zhao, F., Identification of beta-carboline and canthinone alkaloids as anti-inflammatory agents but with different inhibitory profile on the expression of iNOS and COX-2 in lipopolysaccharide-activated RAW 264.7 macrophages. Journal of Natural Medicines 2019, 73, (1), 124-130.",RAW264.7,IC50,uM,Inactive,>50,,,,,,,,>50,FALSE,C(=Cc1ccccc1)C1=NCCc2c1[nH]c1ccccc21,0,Inactive,1
IN1136,C[C@@]12[C@](CC[C@@](C)(O)[C@]2([H])C/C=C([C@H](O)CO)/C)([H])C(C)(C)CCC1,OC[C@H](/C(=C\C[C@H]1[C@](C)(O)CC[C@@H]2[C@]1(C)CCCC2(C)C)/C)O,,,UTSSBYMBPAWNOA-LNKLHFRWSA-N,"(12Z,14S)-12-labdene-8,14,15-triol",Holophyllin P,,Diterpenoid,C20H36O3,324.498,3.502,3,3,4,Abies holophylla,"Kim CS, Oh J, Subedi L, Kim SY, Choi SU, Lee KR. Structural Characterization of Terpenoids from Abies holophylla Using Computational and Statistical Methods and Their Biological Activities. J Nat Prod. 2018 Aug 24;81(8):1795-1802. doi: 10.1021/acs.jnatprod.8b00245. ",BV-2,IC50,uM,Null,>50,,,,,,,,>50,FALSE,C/C(=C/C[C@@H]1[C@@]2(C)CCCC(C)(C)[C@@H]2CC[C@@]1(C)O)[C@H](O)CO,0,Inactive,1
IN0529,O[C@@]12[C@]([C@H]3[C@@](/C(C)=C4C[C@H](C5(O)CC(O)OC5=O)OC/4=O)(C)O2)(C)C(C(O3)=O)=CCC1,C/C(=C1\C[C@H](C2(O)CC(O)OC2=O)OC1=O)[C@]1(C)O[C@@]2(O)CCC=C3C(=O)O[C@H]1[C@@]32C,,,HNNMQRYPXOKEDH-ZIVNNKRDSA-N,,Jamesoniellides S,,Diterpenoid,C21H24O10,436.409,0.471,10,3,2,Jamesoniella autumnalis,"Li, Y.; Zhu, R.; Zhang, J.; Wu, X.; Shen, T.; Zhou, J.; Qiao, Y.; Gao, Y.; Lou, H., Clerodane diterpenoids from the Chinese liverwort Jamesoniella autumnalis and their anti-inflammatory activity. Phytochemistry 2018, 154, 85-93.",RAW264.7,IC50,uM,Active,180.19,,,,,,,,180.19,FALSE,C/C(=C1\C[C@H](C2(O)CC(O)OC2=O)OC1=O)[C@]1(C)O[C@@]2(O)CCC=C3C(=O)O[C@H]1[C@@]32C,0,Inactive,1
IN0528,O[C@@]12[C@]([C@H]3[C@@](/C(C)=C4C[C@H](C5=CC(O[C@@H]5O)=O)OC/4=O)(C)O2)(C)C(C(O3)=O)=CCC1,C/C(=C1\C[C@H](C2=CC(=O)O[C@@H]2O)OC1=O)[C@]1(C)O[C@@]2(O)CCC=C3C(=O)O[C@H]1[C@@]32C,,,AEJHADUZLRGFQG-JRAKLRMHSA-N,,Jamesoniellides R,,Diterpenoid,C21H22O9,418.394,1.232,9,2,2,Jamesoniella autumnalis,"Li, Y.; Zhu, R.; Zhang, J.; Wu, X.; Shen, T.; Zhou, J.; Qiao, Y.; Gao, Y.; Lou, H., Clerodane diterpenoids from the Chinese liverwort Jamesoniella autumnalis and their anti-inflammatory activity. Phytochemistry 2018, 154, 85-93.",RAW264.7,IC50,uM,Inactive,82.98,,,,,,,,82.98,FALSE,C/C(=C1\C[C@H](C2=CC(=O)O[C@@H]2O)OC1=O)[C@]1(C)O[C@@]2(O)CCC=C3C(=O)O[C@H]1[C@@]32C,0,Inactive,1
IN0527,O[C@@]12[C@]([C@H]3[C@@](/C(C)=C4C[C@H](C5=CC(O)OC5=O)OC/4=O)(C)O2)(C)C(C(O3)=O)=CCC1,C/C(=C1\C[C@H](C2=CC(O)OC2=O)OC1=O)[C@]1(C)O[C@@]2(O)CCC=C3C(=O)O[C@H]1[C@@]32C,,,HMKVAHDJEQVSEX-NRFSXLQESA-N,,Jamesoniellides Q,,Diterpenoid,C21H22O9,418.394,1.232,9,2,2,Jamesoniella autumnalis,"Li, Y.; Zhu, R.; Zhang, J.; Wu, X.; Shen, T.; Zhou, J.; Qiao, Y.; Gao, Y.; Lou, H., Clerodane diterpenoids from the Chinese liverwort Jamesoniella autumnalis and their anti-inflammatory activity. Phytochemistry 2018, 154, 85-93.",RAW264.7,IC50,uM,Active,45,,,,,,,,45,FALSE,C/C(=C1\C[C@H](C2=CC(O)OC2=O)OC1=O)[C@]1(C)O[C@@]2(O)CCC=C3C(=O)O[C@H]1[C@@]32C,1,Active,1
IN0391,C[C@H](CC(=O)/C=C(\C)/C(=O)O)[C@H]1CC[C@@]2([C@@]1(CC[C@@H]3C2=CC[C@@H]4[C@@]3(CCC(=O)C4(C)C)C)C)C,C/C(=C\C(=O)C[C@@H](C)[C@H]1CC[C@@]2(C)C3=CC[C@H]4C(C)(C)C(=O)CC[C@]4(C)[C@@H]3CC[C@]12C)C(=O)O,CHEMBL4175257,13943217,VHBAGJSLBGJYBT-WTIZRIRNSA-N,"(E,6R)-2-methyl-4-oxo-6-[(5R,9S,10R,13R,14R,17R)-4,4,10,13,14-pentamethyl-3-oxo-1,2,5,6,9,11,12,15,16,17-decahydrocyclopenta[a]phenanthren-17-yl]hept-2-enoic acid",Firmanoic acid,,Triterpenoid,C30H44O4,468.668,6.167,4,1,5,Abies holophylla,"Kim CS, Oh J, Subedi L, Kim SY, Choi SU, Lee KR. Structural Characterization of Terpenoids from Abies holophylla Using Computational and Statistical Methods and Their Biological Activities. J Nat Prod. 2018 Aug 24;81(8):1795-1802. doi: 10.1021/acs.jnatprod.8b00245. ",BV-2,IC50,uM,Active,10.5,,,,,,,,10.5,FALSE,C/C(=C\C(=O)C[C@@H](C)[C@H]1CC[C@@]2(C)C3=CC[C@H]4C(C)(C)C(=O)CC[C@]4(C)[C@@H]3CC[C@]12C)C(=O)O,1,Active,1
IN0393,C[C@@]1([C@H](C)CC(/C=C(C)/C(O)=O)=O)CC=C2C3=CC[C@]4([H])[C@](C)(CC[C@@H](O)C4(C)C)[C@]3([H])CC[C@]21C,C/C(=C\C(=O)C[C@@H](C)[C@]1(C)CC=C2C3=CC[C@H]4C(C)(C)[C@H](O)CC[C@]4(C)[C@@H]3CC[C@]21C)C(=O)O,,13943227,ABGXDYHSMIYRIC-TZDZPGILSA-N,"(E,6R)-6-[(3R,5R,9S,10R,13S,17S)-3-hydroxy-4,4,10,13,17-pentamethyl-2,3,5,6,9,11,12,16-octahydro-1H-cyclopenta[a]phenanthren-17-yl]-2-methyl-4-oxohept-2-enoic acid",23-oxomariesiic acid A,"(9beta,13alpha,17S,24E)-3alpha-Hydroxy-17-methyl-23-oxo-30-nor-5alpha-lanosta-7,14,24-triene-26-oic acid",Triterpenoid,C30H44O4,468.668,5.817,4,2,5,Abies holophylla,"Kim CS, Oh J, Subedi L, Kim SY, Choi SU, Lee KR. Structural Characterization of Terpenoids from Abies holophylla Using Computational and Statistical Methods and Their Biological Activities. J Nat Prod. 2018 Aug 24;81(8):1795-1802. doi: 10.1021/acs.jnatprod.8b00245. ",BV-2,IC50,uM,Active,10.3,,,,,,,,10.3,FALSE,C/C(=C\C(=O)C[C@@H](C)[C@]1(C)CC=C2C3=CC[C@H]4C(C)(C)[C@H](O)CC[C@]4(C)[C@@H]3CC[C@]21C)C(=O)O,1,Active,1
IN0665,C/C(=C\CC[C@@H]1[C@]2(CCC(=O)C([C@H]2CC[C@@]1(C)O)(C)C)C)/CC/C=C(\C)/CC/C=C(\C)/CO,C/C(=C\CC/C(C)=C/CC/C(C)=C/CC[C@@H]1[C@@]2(C)CCC(=O)C(C)(C)[C@H]2CC[C@@]1(C)O)CO,,102242791,DRLJOZRXEKMJSC-RHRFSGSASA-N,"(4aS,5R,6R,8aS)-6-hydroxy-5-[(3E,7E,11E)-13-hydroxy-4,8,12-trimethyltrideca-3,7,11-trienyl]-1,1,4a,6-tetramethyl-3,4,5,7,8,8a-hexahydronaphthalen-2-one",Myrrhanone A,Myrrhanone A 350809-44-8,Triterpenoid,C30H50O3,458.716,7.12,3,2,10,Balsamodendron mukul,"Matsuda H, Morikawa T, Ando S, Oominami H, Murakami T, Kimura I, Yoshikawa M. Absolute stereostructures of polypodane- and octanordammarane-type triterpenes with nitric oxide production inhibitory activity from guggul-gum resins. Bioorg Med Chem. 2004 Jun 1;12(11):3037-46. doi: 10.1016/j.bmc.2004.03.020.",Peritoneal macrophage,IC50,uM,Inactive,35,,,,,,,,35,FALSE,C/C(=C\CC/C(C)=C/CC/C(C)=C/CC[C@@H]1[C@@]2(C)CCC(=O)C(C)(C)[C@H]2CC[C@@]1(C)O)CO,1,Active,1
IN0664,C/C(=C\CC[C@@H]1[C@]2(CC[C@@H](C([C@H]2CC[C@@]1(C)O)(C)C)O)C)/CC/C=C(\C)/CC/C=C(\C)/CO,C/C(=C\CC/C(C)=C/CC/C(C)=C/CC[C@@H]1[C@@]2(C)CC[C@H](O)C(C)(C)[C@H]2CC[C@@]1(C)O)CO,,9912114,KKOJENOIJUTRDK-DVIFFTOOSA-N,"(1R,2R,4aS,6S,8aS)-1-[(3E,7E,11E)-13-hydroxy-4,8,12-trimethyltrideca-3,7,11-trienyl]-2,5,5,8a-tetramethyl-3,4,4a,6,7,8-hexahydro-1H-naphthalene-2,6-diol",Myrrhanol A,350809-42-6,Triterpenoid,C30H52O3,460.732,7.02,3,3,10,Balsamodendron mukul,"Matsuda H, Morikawa T, Ando S, Oominami H, Murakami T, Kimura I, Yoshikawa M. Absolute stereostructures of polypodane- and octanordammarane-type triterpenes with nitric oxide production inhibitory activity from guggul-gum resins. Bioorg Med Chem. 2004 Jun 1;12(11):3037-46. doi: 10.1016/j.bmc.2004.03.020.",Peritoneal macrophage,IC50,uM,Inactive,25,,,,,,,,25,FALSE,C/C(=C\CC/C(C)=C/CC/C(C)=C/CC[C@@H]1[C@@]2(C)CC[C@H](O)C(C)(C)[C@H]2CC[C@@]1(C)O)CO,1,Active,1
IN0666,C/C(=C\CC[C@@H]1[C@]2(CC[C@@H](C([C@H]2CC[C@@]1(C)O)(C)C)O)C)/CC/C=C(\C)/CC/C=C(\C)/C(=O)O,C/C(=C\CC/C(C)=C/CC[C@@H]1[C@@]2(C)CC[C@H](O)C(C)(C)[C@H]2CC[C@@]1(C)O)CC/C=C(\C)C(=O)O,,102242790,XKZRMBOWVKGAPH-OWTLRZPCSA-N,"(2E,6E,10E)-13-[(1R,2R,4aS,6S,8aS)-2,6-dihydroxy-2,5,5,8a-tetramethyl-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl]-2,6,10-trimethyltrideca-2,6,10-trienoic acid",Myrrhanol B,Myrrhanol B,Triterpenoid,C30H50O4,474.716,7.254,4,3,10,Balsamodendron mukul,"Matsuda H, Morikawa T, Ando S, Oominami H, Murakami T, Kimura I, Yoshikawa M. Absolute stereostructures of polypodane- and octanordammarane-type triterpenes with nitric oxide production inhibitory activity from guggul-gum resins. Bioorg Med Chem. 2004 Jun 1;12(11):3037-46. doi: 10.1016/j.bmc.2004.03.020.",Peritoneal macrophage,IC50,uM,Inactive,61,,,,,,,,61,FALSE,C/C(=C\CC/C(C)=C/CC[C@@H]1[C@@]2(C)CC[C@H](O)C(C)(C)[C@H]2CC[C@@]1(C)O)CC/C=C(\C)C(=O)O,0,Inactive,1
