y_true,y_prob
1,0.7840645
0,0.16225019
1,0.5685157
0,0.18666297
1,0.6901956
1,0.99496245
1,0.6904267
0,0.13966462
1,0.37559038
1,0.39917147
1,0.7046871
1,0.9104279
0,0.20105985
0,0.5873863
0,0.7307594
0,0.22617213
0,0.0919481
0,0.01643425
1,0.9975106
1,0.9989508
1,0.98815316
1,0.8734593
1,0.99604976
1,0.996235
1,0.8734593
0,0.77000093
1,0.9931584
1,0.77000093
1,0.77000093
1,0.8340569
1,0.86822325
1,0.80637014
1,0.892042
1,0.19050519
1,0.560709
1,0.84068227
0,0.3664862
0,0.36266497
0,0.6295955
1,0.22769067
0,0.35079986
0,0.29142952
1,0.90293556
1,0.85991734
1,0.8792362
1,0.90925515
1,0.8649902
1,0.8367252
1,0.89248157
0,0.029285658
0,0.58464307
1,0.95183164
1,0.43953133
1,0.4680143
0,0.46672845
0,0.100444436
0,0.11925567
1,0.7343205
1,0.99419177
1,0.69618535
1,0.65909594
1,0.97473896
0,0.14242537
1,0.70445037
1,0.9779773
1,0.45210108
1,0.925637
0,0.6111089
0,0.27561998
1,0.8305084
0,0.20766047
0,0.0777287
0,0.08080955
0,0.23109639
1,0.5353458
1,0.85817933
1,0.2907835
0,0.147666
1,0.99668944
0,0.35156813
0,0.0816529
1,0.80616957
1,0.84222156
1,0.8737894
1,0.8778906
1,0.6519563
0,0.10839289
1,0.63119334
0,0.078053035
0,0.078053035
0,0.27352998
0,0.45955363
0,0.12178515
0,0.33032042
0,0.2338255
1,0.7578919
0,0.09714944
0,0.3567821
1,0.92529565
0,0.08737274
0,0.20344725
1,0.62795967
1,0.042862974
0,0.04552384
0,0.05720173
0,0.044284515
0,0.12032344
0,0.14230895
0,0.13164674
0,0.051399145
0,0.29844177
0,0.04802642
0,0.19380209
0,0.09402991
0,0.11755071
0,0.19823097
1,0.38439775
0,0.071645856
1,0.9528351
0,0.09302986
1,0.7385621
0,0.08655034
1,0.6250065
1,0.96946716
1,0.8665126
0,0.3680035
1,0.8416631
1,0.37633407
0,0.06738111
0,0.123883314
0,0.13789842
1,0.8425782
0,0.71655184
1,0.47646645
0,0.046424415
0,0.046424415
0,0.051212903
1,0.82517064
0,0.016417464
0,0.009574816
1,0.99945223
1,0.05105255
0,0.011887776
0,0.013481274
0,0.015696988
0,0.018750673
0,0.018485174
0,0.022805464
0,0.021873109
0,0.021873109
0,0.014043046
0,0.02413139
0,0.025039759
0,0.016650159
0,0.033963095
0,0.013618587
0,0.021873109
0,0.014043046
0,0.013618587
0,0.016348077
0,0.019499823
0,0.019499823
0,0.017132329
0,0.020150134
0,0.019499823
0,0.033963095
0,0.019499823
0,0.02789111
0,0.02967439
0,0.035600662
0,0.05148923
0,0.028750153
0,0.021306239
0,0.028750153
1,0.98034924
1,0.9796004
1,0.48256144
1,0.47527304
1,0.66095245
0,0.07454973
1,0.242333
1,0.86983836
1,0.76805913
1,0.7064623
0,0.39968264
1,0.29000026
0,0.25217164
0,0.12844855
0,0.3504238
0,0.60262066
1,0.96846807
0,0.15955839
0,0.28858894
0,0.24243517
0,0.21090122
1,0.3821795
0,0.34519172
0,0.14302558
1,0.2685411
0,0.19525662
0,0.27496976
0,0.1953621
1,0.88933986
1,0.9220431
1,0.8978309
1,0.8881819
0,0.20774068
0,0.2723624
0,0.055000246
0,0.045611214
0,0.03669844
1,0.8585735
1,0.914427
1,0.9666373
1,0.8187797
1,0.44639444
1,0.83077466
0,0.073031425
0,0.086452246
0,0.3286322
0,0.16189124
0,0.17518055
0,0.17518055
0,0.17006297
0,0.08294381
0,0.08571149
0,0.14664005
1,0.77261144
0,0.085017964
0,0.12954015
0,0.121842936
1,0.9633982
1,0.29009092
0,0.16220978
0,0.16529316
1,0.6847162
1,0.6407164
1,0.77887845
0,0.44909695
0,0.20696358
1,0.9390982
0,0.2668843
0,0.472951
0,0.34458467
0,0.327964
0,0.4038125
1,0.76758915
1,0.7898762
1,0.94140553
1,0.58386844
0,0.20246014
1,0.37652957
0,0.4436649
0,0.4436649
1,0.568264
1,0.568264
0,0.033741433
0,0.16260377
1,0.5516866
1,0.5516866
0,0.6579093
0,0.0997935
0,0.23864198
1,0.96990734
1,0.9653076
1,0.9719309
1,0.9613017
1,0.96308476
1,0.9744789
1,0.96727663
1,0.9755738
1,0.97534245
1,0.9744789
1,0.9724705
1,0.5737275
0,0.15387405
0,0.19432423
1,0.993623
0,0.14475547
0,0.11185444
1,0.6015477
1,0.8035256
0,0.71278787
1,0.2507362
1,0.2213513
0,0.21116729
0,0.32294282
0,0.29355076
1,0.3145592
0,0.10330254
0,0.13579775
1,0.16657135
0,0.14458661
1,0.98082495
0,0.104009874
0,0.13230886
0,0.43392837
0,0.13625914
1,0.68622214
1,0.55584
0,0.6401707
0,0.042224225
0,0.07462836
0,0.040538978
0,0.083728574
0,0.083728574
0,0.038738713
0,0.23074047
0,0.17536426
1,0.4632951
0,0.2726183
1,0.6334102
0,0.15674584
1,0.9948456
1,0.40846375
0,0.330862
1,0.64901626
1,0.35035595
0,0.4302675
0,0.43304703
1,0.14019756
0,0.369401
1,0.54032683
0,0.22607696
1,0.5877904
0,0.35829943
1,0.25520813
1,0.68766564
0,0.18198353
0,0.20429005
0,0.13930047
0,0.16682245
0,0.18867049
0,0.29692724
1,0.97071856
1,0.5109007
0,0.068441845
1,0.9689286
1,0.88743347
1,0.9597428
1,0.9577705
1,0.8869178
1,0.7428016
1,0.95155287
1,0.73233664
1,0.9759049
0,0.15212618
1,0.8232287
1,0.94269955
0,0.17368968
1,0.98777384
0,0.053169426
1,0.35620403
1,0.568472
0,0.03614833
0,0.072516926
0,0.06759928
0,0.28391552
1,0.9064791
