y_true,y_prob
1,0.466971
0,0.30934706
1,0.3234634
0,0.28991866
1,0.7013662
1,0.4264858
1,0.6514039
0,0.31607902
1,0.3745092
1,0.6679959
1,0.3863476
1,0.56937045
0,0.23626162
0,0.38287818
0,0.45288384
0,0.38849387
0,0.48730862
0,0.2804337
1,0.72361195
1,0.6926801
1,0.6784892
1,0.62461686
1,0.6389098
1,0.6364655
1,0.62461686
0,0.6203886
1,0.65211684
1,0.6203886
1,0.6203886
1,0.6340728
1,0.63580084
1,0.651932
1,0.6886278
1,0.3844096
1,0.6706999
1,0.3758079
0,0.55053484
0,0.5015689
0,0.64338076
1,0.6766635
0,0.60349977
0,0.58017445
1,0.5794356
1,0.6071077
1,0.57997924
1,0.57921124
1,0.57940114
1,0.48093927
1,0.5792223
0,0.2790283
0,0.5478132
1,0.7319122
1,0.70088583
1,0.7331822
0,0.73437244
0,0.23741212
0,0.25186974
1,0.48497626
1,0.33418775
1,0.62955654
1,0.4977245
1,0.70804775
0,0.60351294
1,0.70405746
1,0.6448985
1,0.2923296
1,0.68758434
0,0.7294789
0,0.7121351
1,0.28894454
0,0.30066887
0,0.27979895
0,0.2448185
0,0.38523036
1,0.69114816
1,0.55048263
1,0.7103263
0,0.6422651
1,0.6902299
0,0.57269585
0,0.33771953
1,0.60809636
1,0.63775206
1,0.70629036
1,0.6922195
1,0.71276927
0,0.33491918
1,0.7033336
0,0.3445514
0,0.3445514
0,0.37646127
0,0.51679134
0,0.38838476
0,0.44270757
0,0.2951331
1,0.5951679
0,0.23661442
0,0.2692288
1,0.42430443
0,0.3374699
0,0.59555626
1,0.6800257
1,0.23474541
0,0.26356936
0,0.23058675
0,0.22582184
0,0.23445152
0,0.35147482
0,0.28115773
0,0.23259635
0,0.2987069
0,0.2177257
0,0.36421582
0,0.24389306
0,0.68279445
0,0.654629
1,0.4654725
0,0.6150973
1,0.64754874
0,0.6467042
1,0.7207376
0,0.3509557
1,0.50124085
1,0.6301178
1,0.5678891
0,0.43301636
1,0.41501036
1,0.6256038
0,0.26963463
0,0.3375487
0,0.41142493
1,0.4173948
0,0.26993448
1,0.60839933
0,0.26196402
0,0.26874608
0,0.24106488
1,0.3956
0,0.21721122
0,0.21813501
1,0.59225833
1,0.20510715
0,0.20505814
0,0.20505981
0,0.20505509
0,0.20506583
0,0.20506267
0,0.20508277
0,0.20508298
0,0.20508298
0,0.20505433
0,0.20509346
0,0.20507066
0,0.20505513
0,0.20516436
0,0.20505355
0,0.20508298
0,0.20505433
0,0.20505355
0,0.20505854
0,0.20507888
0,0.20507888
0,0.20511986
0,0.20505343
0,0.20507888
0,0.20516436
0,0.20507888
0,0.20506671
0,0.20506342
0,0.20508474
0,0.20517136
0,0.20512356
0,0.205078
0,0.20512356
1,0.39335987
1,0.52563965
1,0.41541845
1,0.28494382
1,0.2979607
0,0.33449835
1,0.57620335
1,0.7054339
1,0.49639177
1,0.44820085
0,0.61509985
1,0.60622334
0,0.56336653
0,0.6115849
0,0.53727114
0,0.52841747
1,0.5736475
0,0.41433942
0,0.5182033
0,0.36659285
0,0.26822057
1,0.632955
0,0.6001327
0,0.30074775
1,0.4380062
0,0.29254657
0,0.32861403
0,0.6277665
1,0.45821282
1,0.4927151
1,0.5554917
1,0.69899523
0,0.36243975
0,0.31268927
0,0.24097995
0,0.23051342
0,0.4626789
1,0.5572032
1,0.64647436
1,0.6367091
1,0.679449
1,0.44320458
1,0.6493677
0,0.3783817
0,0.241523
0,0.37895915
0,0.36166885
0,0.3614942
0,0.3614943
0,0.3054628
0,0.28259125
0,0.25609586
0,0.38705194
1,0.40977374
0,0.22304572
0,0.32837358
0,0.29577735
1,0.63161784
1,0.5929755
0,0.57401776
0,0.5742151
1,0.705515
1,0.24645154
1,0.7031388
0,0.5778797
0,0.4093659
1,0.677775
0,0.6057782
0,0.49829528
0,0.50337845
0,0.6282829
0,0.60396314
1,0.7008705
1,0.637632
1,0.47969064
1,0.5989256
0,0.7181258
1,0.71337247
0,0.6459234
0,0.6459234
1,0.7053753
1,0.7053753
0,0.2955972
0,0.3584698
1,0.32380804
1,0.32380804
0,0.65222853
0,0.2699142
0,0.6145461
1,0.6933612
1,0.6214409
1,0.64534044
1,0.6121491
1,0.64323616
1,0.6291745
1,0.6082159
1,0.6238464
1,0.62759244
1,0.6291745
1,0.63582754
1,0.37853137
0,0.45027322
0,0.31811595
1,0.3721685
0,0.2780898
0,0.2589082
1,0.62917376
1,0.549631
0,0.4895272
1,0.47054628
1,0.6774674
0,0.35068917
0,0.3733867
0,0.30890563
1,0.22521481
0,0.3769436
0,0.21639535
1,0.5082604
0,0.40525818
1,0.46664214
0,0.37303495
0,0.54253936
0,0.6177187
0,0.2665797
1,0.629472
1,0.38152748
0,0.51370347
0,0.23235393
0,0.257986
0,0.22976056
0,0.31470254
0,0.31470254
0,0.23857173
0,0.3693223
0,0.27076042
1,0.3890581
0,0.38915232
1,0.6957158
0,0.4323861
1,0.7313737
1,0.5413425
0,0.5458878
1,0.36594775
1,0.4731581
0,0.59368265
0,0.6905956
1,0.35610119
0,0.42417324
1,0.7109629
0,0.31165016
1,0.3423633
0,0.28843203
1,0.61200386
1,0.54184055
0,0.27704182
0,0.34097475
0,0.205728
0,0.20740783
0,0.29491407
0,0.5422698
1,0.6949105
1,0.39179495
0,0.48538482
1,0.59975135
1,0.59179336
1,0.6184344
1,0.5948094
1,0.6153655
1,0.48877245
1,0.7121099
1,0.3162931
1,0.5078862
0,0.388515
1,0.7207173
1,0.6860244
0,0.29863364
1,0.6631266
0,0.3855857
1,0.40521422
1,0.512624
0,0.24102224
0,0.2777582
0,0.27893344
0,0.41710213
1,0.59299827
1,0.5589387
0,0.26188838
1,0.6052338
0,0.57502985
0,0.41572422
0,0.28114304
1,0.38378644
0,0.2196386
0,0.35690942
1,0.38888988
1,0.35526255
0,0.30407637
0,0.5082394
0,0.6083624
0,0.5091138
0,0.5906732
0,0.44287387
1,0.6757697
0,0.6734997
1,0.33368695
1,0.43293506
0,0.34991628
0,0.57153225
1,0.62471366
0,0.671386
0,0.62761134
1,0.54106605
0,0.54106605
0,0.4348414
1,0.62761134
1,0.54106605
1,0.4348414
1,0.54106605
0,0.62761134
1,0.54106605
0,0.6709626
1,0.6709626
0,0.6709626
1,0.6765493
1,0.66174215
0,0.67148924
1,0.6620697
1,0.50843
0,0.24538873
1,0.4700051
1,0.6493315
1,0.45997816
1,0.6368256
1,0.32008472
1,0.4758977
1,0.4154112
1,0.36105895
1,0.46393472
1,0.37527928
1,0.44572836
1,0.45852914
1,0.5732591
1,0.39680147
1,0.37527928
1,0.46393472
1,0.37527928
1,0.34515247
1,0.41247258
1,0.37527928
1,0.3532521
1,0.37527928
1,0.4457157
0,0.5959342
0,0.6143282
1,0.45391265
0,0.29500094
0,0.39656973
0,0.37926614
0,0.46268174
1,0.56938493
1,0.49961668
0,0.6223369
0,0.25647697
0,0.2663022
0,0.34378505
0,0.24903385
1,0.6310195
1,0.66717744
0,0.5379257
1,0.41369554
1,0.41369554
1,0.41369554
0,0.33231503
1,0.73180693
1,0.3656528
1,0.6331227
0,0.3305325
0,0.5191749
1,0.67153287
0,0.45929962
0,0.6246288
1,0.36165008
0,0.5954343
1,0.23016883
1,0.66975343
0,0.26021978
0,0.29038617
0,0.35290545
0,0.3550568
0,0.3441977
0,0.3575928
0,0.3926247
1,0.46905518
1,0.3321146
1,0.6030418
0,0.21958438
1,0.36181423
0,0.22642277
0,0.29459897
0,0.43108916
0,0.4091741
0,0.43108916
1,0.48891303
0,0.6464366
0,0.2306251
0,0.6397641
0,0.3738382
1,0.5024696
1,0.346055
1,0.5929371
1,0.58678746
1,0.45960042
1,0.61395174
1,0.5892719
1,0.48031548
1,0.5839947
0,0.3312533
1,0.48839223
1,0.46106514
1,0.40321726
1,0.54098123
1,0.2552485
1,0.40424314
0,0.6956964
1,0.63145196
1,0.63145196
1,0.63145196
1,0.62219
0,0.2313298
1,0.62578905
1,0.6375685
0,0.4938377
0,0.4265098
1,0.67839956
0,0.27538836
1,0.5810646
0,0.3594406
1,0.71308255
0,0.3803272
1,0.720875
1,0.47574064
1,0.6282402
0,0.37514523
0,0.41913542
1,0.21594329
1,0.69126135
1,0.64649487
0,0.35665467
0,0.22205397
1,0.6886443
1,0.7137675
0,0.21436125
1,0.5388032
1,0.6130333
0,0.5221249
1,0.26288712
0,0.3079562
1,0.2886582
0,0.3399381
1,0.6349417
1,0.56559074
0,0.44417554
1,0.44583184
1,0.7008037
1,0.306359
0,0.47791332
1,0.39201412
0,0.27780005
0,0.67344594
0,0.68022454
1,0.5982446
1,0.655512
0,0.3754481
1,0.3413193
0,0.7223214
0,0.6205559
1,0.487445
0,0.41019225
1,0.6581756
0,0.31289667
0,0.6719347
0,0.35772708
1,0.7278742
0,0.57260394
0,0.46594137
1,0.70256615
0,0.22906528
0,0.24966677
0,0.61591744
1,0.61395395
1,0.6111203
0,0.6927024
0,0.7299137
1,0.7242682
1,0.7264738
1,0.6681195
1,0.6350094
0,0.27600253
1,0.46893442
1,0.69343233
0,0.4171037
0,0.41706085
0,0.4885292
1,0.64093924
0,0.57010245
0,0.59419906
0,0.5612894
0,0.30331102
1,0.70016646
1,0.35593316
1,0.35593316
0,0.4845141
0,0.36415455
0,0.6206517
0,0.21528095
1,0.67663264
0,0.33368152
0,0.5093712
0,0.5366304
0,0.5366304
1,0.7205657
1,0.36903504
1,0.6499079
0,0.2499785
1,0.5820315
1,0.61119056
1,0.6309643
0,0.5479543
0,0.44797266
1,0.56448704
0,0.47981867
0,0.6807412
0,0.69884145
0,0.7287252
0,0.28659147
1,0.68497413
1,0.69773966
0,0.4823204
0,0.39317554
0,0.4777656
0,0.40861955
0,0.34379026
1,0.5788286
1,0.5788286
1,0.7024668
1,0.73009574
0,0.28548992
1,0.31914982
1,0.39739743
1,0.48865807
1,0.47765625
1,0.40073937
1,0.67517847
1,0.6673708
1,0.65062344
1,0.67597616
1,0.6630594
1,0.689947
1,0.64204925
0,0.5808121
1,0.6321456
1,0.6321456
0,0.31535304
0,0.2265465
1,0.6614005
0,0.44169047
0,0.387287
0,0.63425803
0,0.45537004
0,0.70655125
0,0.3389292
0,0.37884066
0,0.63873005
1,0.624259
0,0.26429006
1,0.30552816
1,0.72338784
1,0.7021797
1,0.38281307
1,0.39000687
1,0.6878457
1,0.38011408
1,0.720585
1,0.7215664
1,0.31557953
1,0.36124706
0,0.56239843
0,0.6924503
0,0.2157712
1,0.44451427
0,0.39975345
0,0.36275718
0,0.36946762
1,0.5670757
1,0.7317449
0,0.27464694
0,0.35870063
1,0.6858103
1,0.4045913
1,0.3353158
1,0.23749073
0,0.37549716
1,0.39058542
1,0.73091114
1,0.6156751
1,0.42083347
1,0.4342683
0,0.7014311
0,0.6022049
0,0.21743923
0,0.23077941
0,0.21974652
0,0.2192175
0,0.56258106
1,0.4284943
0,0.2541617
0,0.29982513
1,0.4439963
1,0.31420016
0,0.3083731
0,0.28498474
0,0.40959713
0,0.5311036
0,0.2330254
0,0.2330254
0,0.33796903
1,0.341492
0,0.5862627
0,0.5903623
0,0.6075963
1,0.6248181
0,0.22232698
1,0.70191574
1,0.4159431
0,0.32006332
1,0.5983389
1,0.591405
1,0.40630215
0,0.4959305
1,0.32254255
1,0.71044123
0,0.6342019
0,0.5953393
1,0.3489677
0,0.44359556
0,0.35936466
0,0.29914635
0,0.4180789
0,0.32489297
1,0.34736845
1,0.5904784
1,0.42325157
1,0.6872791
0,0.48840818
0,0.39801177
1,0.53520554
0,0.27163905
1,0.35055628
1,0.6255293
1,0.63366026
0,0.40151095
0,0.32344678
0,0.3655065
0,0.27817035
1,0.4486542
1,0.44848382
1,0.5809128
0,0.4488375
1,0.58144796
0,0.6241429
1,0.411256
1,0.411256
0,0.51072276
0,0.5900154
1,0.356192
1,0.5992398
0,0.42710617
1,0.42385533
1,0.31758577
0,0.28503147
0,0.30770305
