y_true,y_prob
1,0.8562861
0,0.07281084
1,0.952815
0,0.31756362
1,0.81224453
1,0.8802041
1,0.7224662
0,0.2151302
1,0.8073126
1,0.6256428
1,0.7677928
1,0.8997563
0,0.11493224
0,0.2760244
0,0.5382802
0,0.14094561
0,0.21845984
0,0.05885586
1,0.87630403
1,0.8953019
1,0.9208522
1,0.93761677
1,0.89131516
1,0.9455349
1,0.77354956
0,0.6646107
1,0.9604653
1,0.8678835
1,0.71913093
1,0.82088375
1,0.8135531
1,0.71616805
1,0.9429338
1,0.45592928
1,0.39912787
1,0.9062753
0,0.32653135
0,0.32826543
0,0.38259032
1,0.75654113
0,0.25830773
0,0.2639411
1,0.9657059
1,0.9648303
1,0.948611
1,0.94202507
1,0.9450529
1,0.96479213
1,0.9560333
0,0.019146116
0,0.27687833
1,0.8276034
1,0.6758145
1,0.73542684
0,0.723303
0,0.2022376
0,0.24729265
1,0.89571786
1,0.9642699
1,0.80151856
1,0.7862188
1,0.8774892
0,0.16549976
1,0.69580495
1,0.9485947
1,0.5110018
1,0.6863347
0,0.32408088
0,0.34507006
1,0.901515
0,0.17312387
0,0.064266965
0,0.12250939
0,0.28150907
1,0.9682862
1,0.7752649
1,0.7373157
0,0.34974405
1,0.9831198
0,0.23234107
0,0.20099318
1,0.86413157
1,0.81571245
1,0.8868272
1,0.8968902
1,0.4694351
0,0.20491406
1,0.6205388
0,0.105200574
0,0.069055505
0,0.1568427
0,0.2515216
0,0.1735894
0,0.18670136
0,0.21280721
1,0.8081621
0,0.12198758
0,0.2944289
1,0.9515597
0,0.06470713
0,0.33773553
1,0.52223516
1,0.25516233
0,0.054149922
0,0.032098655
0,0.03542508
0,0.08515235
0,0.22892584
0,0.17311871
0,0.058362063
0,0.068974175
0,0.04363322
0,0.2783199
0,0.031776708
0,0.34828666
0,0.37501082
1,0.42931402
0,0.4053562
1,0.92337996
0,0.08727606
1,0.86774224
0,0.049215242
1,0.61034644
1,0.88619196
1,0.888538
0,0.43002576
1,0.681381
1,0.8168451
0,0.3144907
0,0.10900693
0,0.13741663
1,0.7361793
0,0.29540184
1,0.67980164
0,0.14121021
0,0.14632994
0,0.13354082
1,0.60509646
0,0.048208516
0,0.042915147
1,0.8060281
1,0.17076102
0,0.03717376
0,0.038279645
0,0.017752023
0,0.036555834
0,0.013942449
0,0.027703786
0,0.025284063
0,0.02126179
0,0.0411344
0,0.023391949
0,0.013291349
0,0.04592142
0,0.014262587
0,0.013681316
0,0.11990051
0,0.05492803
0,0.011500059
0,0.03037086
0,0.0122465
0,0.014850758
0,0.034999643
0,0.019846708
0,0.035280637
0,0.034062993
0,0.038032815
0,0.025975037
0,0.008156102
0,0.017798478
0,0.014142856
