y_true,y_prob
1,0.7904832
0,0.13741454
1,0.8218392
0,0.22675179
1,0.76655805
1,0.6641754
1,0.8200059
0,0.31814635
1,0.25202307
1,0.4911184
1,0.28295973
1,0.56208295
0,0.12028047
0,0.35757798
0,0.37148407
0,0.20135188
0,0.26134843
0,0.20686872
1,0.9271471
1,0.9742473
1,0.89811915
1,0.80803764
1,0.95547414
1,0.9435722
1,0.80803764
0,0.7095204
1,0.8637653
1,0.7095204
1,0.7095204
1,0.9249011
1,0.88430303
1,0.8413997
1,0.74179924
1,0.46255058
1,0.6432979
1,0.7756572
0,0.39491382
0,0.47860426
0,0.35621846
1,0.87676316
0,0.41517386
0,0.31588188
1,0.86747974
1,0.48179495
1,0.8991895
1,0.56353676
1,0.509758
1,0.419954
1,0.5604153
0,0.18346757
0,0.67026466
1,0.96796316
1,0.8673852
1,0.77552813
0,0.60077715
0,0.12288843
0,0.11611628
1,0.6896346
1,0.7739251
1,0.7290821
1,0.6144947
1,0.92993635
0,0.31690598
1,0.6742975
1,0.93467075
1,0.45178518
1,0.6661905
0,0.5215078
0,0.31860727
1,0.5214734
0,0.15478025
0,0.27623844
0,0.10405573
0,0.2369377
1,0.8759381
1,0.57120466
1,0.7963589
0,0.4633175
1,0.9321782
0,0.42047095
0,0.17171158
1,0.8802522
1,0.7375836
1,0.9001669
1,0.889585
1,0.87402785
0,0.14832386
1,0.76168746
0,0.055547114
0,0.055547114
0,0.39408654
0,0.3972936
0,0.26218998
0,0.3912863
0,0.32705337
1,0.72269195
0,0.2368996
0,0.18200819
1,0.9184624
0,0.24379224
0,0.29299942
1,0.7416498
1,0.26514328
0,0.2400512
0,0.10776737
0,0.1933269
0,0.12710133
0,0.15414049
0,0.11648898
0,0.10779736
0,0.31262606
0,0.13255908
0,0.11261826
0,0.075483285
0,0.44584313
0,0.5044055
1,0.8913502
0,0.43104762
1,0.71812
0,0.11821271
1,0.84366095
0,0.07916095
1,0.46150255
1,0.8527205
1,0.79723036
0,0.27208492
1,0.92758197
1,0.6225643
0,0.22801852
0,0.1775453
0,0.3389422
1,0.7973532
0,0.1372803
1,0.9242593
0,0.06986532
0,0.06791346
0,0.18828121
1,0.541818
0,0.04348382
0,0.029757375
1,0.54772496
1,0.29233807
0,0.015204598
0,0.029948777
0,0.09429262
0,0.05167975
0,0.06702448
0,0.057617858
0,0.056934103
0,0.056934103
0,0.022463655
0,0.031995837
0,0.051388633
0,0.05826456
0,0.024781205
0,0.015739916
0,0.056934103
0,0.022463655
0,0.015739916
0,0.01437568
0,0.014714028
0,0.014714028
0,0.039569486
0,0.051540405
0,0.014714028
0,0.024781205
0,0.014714028
0,0.02366185
0,0.06447147
0,0.07486261
0,0.10017497
0,0.023261776
0,0.022199817
0,0.023261776
1,0.8075484
1,0.8824648
1,0.43633392
1,0.26097193
1,0.3594357
0,0.15192355
1,0.6610125
1,0.7721445
1,0.59362274
1,0.4396232
0,0.6329134
1,0.7862283
0,0.5670034
0,0.668901
0,0.4916662
0,0.4224175
1,0.9204756
0,0.19609556
0,0.25895333
0,0.25641125
0,0.22223891
1,0.66303957
0,0.71929127
0,0.14431949
1,0.49887636
0,0.120370544
0,0.14449063
0,0.4064539
1,0.4821223
1,0.52756166
1,0.48413283
1,0.6507529
0,0.1973847
0,0.20225447
0,0.05060526
0,0.042296052
0,0.49579996
1,0.73603016
1,0.7386042
1,0.7967878
1,0.8369972
1,0.67571825
1,0.8513948
0,0.17648378
0,0.050759193
0,0.12945595
0,0.225903
0,0.09926418
0,0.09926418
0,0.16361415
0,0.15885228
0,0.062100235
0,0.24165699
1,0.80955595
0,0.11850021
0,0.15283823
0,0.18015423
1,0.97217846
1,0.46290183
0,0.3142701
0,0.3171873
1,0.6802816
1,0.35349652
1,0.73015034
0,0.36543968
0,0.15424238
1,0.7989981
0,0.25523752
0,0.26781273
0,0.17670442
0,0.45968944
0,0.284799
1,0.83471787
1,0.9096319
1,0.39485085
1,0.70345867
0,0.52778953
1,0.90737015
0,0.26995
0,0.26995
1,0.81540406
1,0.81540406
0,0.10204761
0,0.14689815
1,0.7681559
