y_true,y_prob
0,0.15538907
1,0.7458775
1,0.6020096
1,0.8719257
0,0.17828968
0,0.13045764
0,0.13045764
0,0.11648979
1,0.9402996
0,0.05985858
0,0.26511723
1,0.76453197
1,0.8693955
1,0.8912469
1,0.9331658
1,0.9331658
1,0.91098326
1,0.8912469
1,0.9331658
1,0.87051475
1,0.8912469
1,0.9331658
0,0.13535984
1,0.99315345
1,0.996159
1,0.2614286
1,0.97699904
1,0.884184
0,0.3824648
0,0.27951765
1,0.9726353
1,0.23917715
1,0.9953075
1,0.9953075
0,0.18756302
0,0.060897812
1,0.7955818
0,0.16091344
0,0.0639159
0,0.06284324
1,0.3097747
0,0.06132383
1,0.47244504
0,0.28431264
1,0.67342806
0,0.29340774
1,0.99874645
0,0.13044557
1,0.9999422
1,0.28401765
1,0.31766343
1,0.5877273
0,0.09001204
1,0.8409632
0,0.21037184
1,0.7937244
1,0.99986464
0,0.06951285
0,0.1624842
1,0.8765541
0,0.93089914
0,0.29586825
0,0.34881172
1,0.9814768
1,0.2442956
0,0.15428029
0,0.17336962
0,0.34416515
0,0.20653647
0,0.29567406
0,0.5202343
1,0.48875073
0,0.4926404
0,0.37655768
0,0.11803846
1,0.79027873
0,0.08226819
0,0.23962535
0,0.19219096
1,0.7225497
1,0.7855495
1,0.6944329
1,0.29861915
1,0.2827475
1,0.40960255
1,0.9992486
0,0.37383536
0,0.25481078
1,0.94552135
1,0.70707995
1,0.9430756
0,0.2629178
1,0.4492443
1,0.34625378
1,0.31232145
0,0.76201165
0,0.24098976
0,0.24098976
0,0.42293027
0,0.6650225
1,0.25945592
1,0.7366228
0,0.6542871
1,0.91244066
1,0.93398094
1,0.93544596
1,0.65020406
0,0.8691994
1,0.9274857
0,0.09434335
1,0.712757
0,0.51972055
0,0.42345542
1,0.8105116
0,0.4582561
0,0.27235916
1,0.9999585
1,0.98961043
1,0.9628086
1,0.9991268
1,0.9993446
1,0.99250174
1,0.9943492
1,0.98788995
1,0.9952015
1,0.9954675
1,0.89118004
1,0.94829214
1,0.96609205
0,0.21787538
0,0.09393777
1,0.9997403
1,0.99992627
1,0.9999937
0,0.21548024
0,0.34881395
1,0.1855454
1,0.4936975
0,0.10542578
0,0.39039007
0,0.046784304
1,0.7677387
1,0.779514
1,0.75384855
1,0.78248113
0,0.19131756
1,0.6967993
1,0.64322734
0,0.11706508
0,0.17154962
0,0.06698379
0,0.28765535
1,0.8586341
1,0.40468007
0,0.041783705
0,0.041783705
0,0.03879495
1,0.31984463
0,0.17058286
1,0.9918749
1,0.9963401
1,0.9765643
1,0.9963628
1,0.9862784
1,0.9884161
1,0.99453294
1,0.99649
1,0.9717483
1,0.996059
1,0.85638493
0,0.25042236
1,0.91964966
0,0.22841068
1,0.9999861
1,0.70831406
0,0.15049154
1,0.4041336
1,0.35961223
1,0.74185824
0,0.39753082
0,0.24913257
0,0.19006446
0,0.40430582
0,0.08973735
1,0.57564414
0,0.15218724
1,0.7748681
0,0.7592875
0,0.37683868
1,0.9900904
0,0.23653188
0,0.35053417
1,0.6123349
0,0.25526926
0,0.21191032
0,0.095800795
0,0.3162738
0,0.20243557
1,0.95675695
1,0.99890006
1,0.99860436
1,0.9994212
1,0.9994212
1,0.9955121
1,0.995695
1,0.9994212
1,0.75934076
0,0.17940071
0,0.18991116
0,0.065651566
1,0.99745345
0,0.14645824
0,0.81310934
0,0.2209472
1,0.48629558
1,0.25851974
1,0.9261561
1,0.47112602
1,0.7278063
1,0.5782763
1,0.22622524
1,0.338743
0,0.11967997
1,0.9682872
0,0.90397316
1,0.91335434
1,0.999913
1,0.999913
0,0.3322697
0,0.14995943
1,0.9292181
1,0.98525834
1,0.97745234
0,0.12099973
1,0.55128145
0,0.11563673
0,0.10013032
0,0.080177516
0,0.28841382
1,0.9953398
0,0.12664999
0,0.72409475
0,0.72409475
0,0.7470411
0,0.6007458
1,0.21032526
0,0.12592599
0,0.12540156
0,0.15712933
0,0.15505116
0,0.14763342
0,0.17605235
1,0.8325143
0,0.5144421
1,0.24006882
0,0.07010196
0,0.22902232
0,0.059416547
0,0.06031329
1,0.9970631
0,0.42454702
0,0.08635496
1,0.9822593
1,0.91762257
0,0.1445487
1,0.17495088
0,0.7172748
1,0.66363966
1,0.70122886
0,0.16657151
1,0.6949294
0,0.48769614
0,0.49670073
0,0.19220379
1,0.8013797
1,0.6263525
0,0.28834966
0,0.08144916
0,0.10219646
0,0.09131931
0,0.2684401
0,0.26073655
1,0.89505255
0,0.07195046
0,0.06278644
0,0.043180548
0,0.7564807
0,0.13835509
1,0.9526481
0,0.3182232
0,0.40566784
0,0.3177296
0,0.026692485
1,0.8408463
1,0.9974516
0,0.8350438
1,0.503297
0,0.17667685
1,0.29634205
1,0.10981967
0,0.103104636
0,0.12704048
1,0.3680654
0,0.1173113
0,0.67454195
1,0.9558268
0,0.10952183
0,0.25287217
0,0.12525749
1,0.29912525
