y_true,y_prob
0,0.024802586
1,0.9607685
1,0.94726455
1,0.82921433
0,0.088080965
0,0.0130475955
0,0.049407102
0,0.00057135127
1,0.95816046
0,0.020671252
0,0.54738224
1,0.84908676
1,0.93124115
1,0.9902804
1,0.99946046
1,0.99946046
1,0.9975181
1,0.9948213
1,0.9996362
1,0.9905572
1,0.9948213
1,0.9996362
0,0.053544108
1,0.99999994
1,1.0
1,0.55950224
1,0.9995553
1,0.99999994
0,0.96768844
0,0.23478667
1,0.99312997
1,0.5385382
1,0.9999997
1,0.9999997
0,0.13581549
0,0.009226869
1,0.9919537
0,0.003642533
0,0.011944177
0,0.011944177
1,0.92857873
0,0.054502785
1,0.6916818
0,0.028739985
1,0.9994478
0,0.11865358
1,0.99999046
0,0.11599104
1,0.99986273
1,0.23525186
1,0.3925174
1,0.988658
0,0.014846574
1,0.9833107
0,0.060482945
1,0.9999991
1,0.99782073
0,0.0014323138
0,0.0031753245
1,0.9981798
0,0.017339706
0,0.024231777
0,0.053042177
1,0.99999774
1,0.09340402
0,0.03872275
0,0.01748679
0,0.042386528
0,0.0015198912
0,0.010380612
0,0.19463097
1,0.44385755
0,0.27945656
0,0.5322108
0,0.041707527
1,0.9972221
0,0.045265295
0,0.0038999263
0,0.059208106
1,0.8433439
1,0.99449253
1,0.99899876
1,0.9999283
1,0.9999283
1,0.9995833
1,0.99999946
0,0.27891925
0,0.30354047
1,0.99920315
1,0.99911714
1,0.9976401
0,0.011794622
1,0.5483927
1,0.60190755
1,0.98553765
0,0.030225944
0,0.103971526
0,0.103971526
0,0.0057830564
0,0.0807965
1,0.99746275
1,0.9958999
0,0.2387792
1,0.9998443
1,0.9999875
1,0.9975583
1,0.40276432
0,0.12402413
1,0.3175959
0,0.028153177
1,0.174821
0,0.013889284
0,0.01414519
1,0.9227609
0,0.4136936
0,0.33173075
1,0.9999999
1,0.9999997
1,0.99999094
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,0.9696431
1,0.9857634
1,0.9985222
0,0.011330591
0,0.0050433394
1,0.9983982
1,0.99998665
1,0.99998665
0,0.00023115004
0,0.28392783
1,0.5444516
1,0.11665267
0,0.0018652644
0,0.025334029
0,0.0013310388
1,0.9947122
1,0.9918728
1,0.96419096
1,0.999641
0,0.0045293323
1,0.9136257
1,0.6157705
0,0.4345933
0,0.007853355
0,0.0054651964
0,0.5528652
1,0.99971974
1,0.321103
0,0.0008845637
0,0.0017222473
0,0.0022055702
1,0.95426315
0,0.30605373
1,0.9999981
1,0.99999684
1,0.99999774
1,0.9999975
1,0.9999221
1,0.9999507
1,0.9999975
1,0.9999978
1,0.99993837
1,0.99999696
1,0.24067715
0,0.12795106
1,0.8860284
0,0.00028634336
1,1.0
1,0.99933624
0,0.0018304164
1,0.99235827
1,0.20882122
1,0.8796367
0,0.03156049
0,0.060902774
0,0.021730626
0,0.27466676
0,0.054105856
1,0.9999999
0,0.07537878
1,0.4130412
0,0.017960994
0,0.24716063
1,0.9677223
0,0.013943255
0,0.009335847
1,0.32220286
0,0.019357082
0,0.094776444
0,0.001113881
0,0.0038238734
0,0.018756805
1,0.9999949
1,0.81177896
1,0.99984604
1,0.999845
1,0.999845
1,0.9997632
1,0.9997632
1,0.999845
1,0.95315135
0,0.006021182
0,0.013183953
0,0.2216027
1,0.99999136
0,0.0021519512
0,0.026734274
0,0.014547408
1,0.8166466
1,0.20924553
1,0.9513538
1,0.9998376
1,0.991999
1,0.9538617
1,0.99993634
1,0.99750364
0,0.0053669075
1,0.9996989
0,0.3581373
1,0.82651794
1,1.0
1,1.0
0,0.0020506603
0,0.0006323104
1,0.99998516
1,0.2416857
1,0.2548973
0,0.08531974
1,0.13171811
0,0.014516194
0,0.0015440977
0,0.005158926
0,0.05222011
1,0.98544884
0,0.07860966
0,0.36710432
0,0.36710432
0,0.28910092
0,0.52172834
1,0.95617944
0,0.00671634
0,0.013169068
0,0.0043895827
0,0.009918179
0,0.005826464
0,0.051508006
1,0.62971914
0,0.018503023
1,0.2380965
0,0.0050869514
0,0.07953893
0,0.007279203
0,0.015236906
1,0.97892004
0,0.27632555
0,0.0019605174
1,0.9972099
1,0.99737793
0,0.018035201
1,0.99762
0,0.2004825
1,0.8394282
1,0.7277148
0,0.010380073
1,0.99899834
0,0.16187645
0,0.18215626
0,0.10325471
1,0.69707775
1,0.97892344
0,0.116400965
0,0.0053723725
0,0.001249841
0,0.001249841
0,0.026259547
0,0.0122433165
1,0.9213945
0,0.007993589
0,0.006279074
0,0.001287473
0,0.6335861
0,0.003745709
1,0.9997223
0,0.2208358
0,0.014377733
0,0.112185866
0,9.4132345e-05
1,0.9870006
1,0.9999965
0,0.9699026
1,0.984173
0,0.049438946
1,0.97055453
1,0.00682937
0,0.002408836
0,0.0037645106
1,0.3435786
0,0.0027905868
0,0.64138603
1,0.9999167
0,0.008641799
0,0.4014071
0,0.018383296
1,0.5677145
0,0.2616073
0,0.02287443
0,0.46930093
0,0.046741884
0,0.060029585
