y_true,y_prob
0,0.6739204
1,0.77154124
1,0.4769885
1,0.77865285
0,0.6525692
0,0.66220623
0,0.66220623
0,0.24243417
1,0.735976
0,0.6805755
0,0.69925594
1,0.6992048
1,0.8538553
1,0.8521377
1,0.85014004
1,0.85014004
1,0.8495744
1,0.8521377
1,0.85014004
1,0.84852386
1,0.8521377
1,0.85014004
0,0.3199628
1,0.82404137
1,0.7286643
1,0.7075155
1,0.8063717
1,0.8161148
0,0.57498026
0,0.41350007
1,0.8298421
1,0.68693244
1,0.8108908
1,0.8108908
0,0.48648682
0,0.41640657
1,0.8217267
0,0.4599849
0,0.30364138
0,0.30144772
1,0.571697
0,0.27779227
1,0.84489954
0,0.6078691
1,0.4676273
0,0.5537509
1,0.73653567
0,0.45392784
1,0.856333
1,0.63338614
1,0.3011768
1,0.4297447
0,0.30325013
1,0.6387429
0,0.40326297
1,0.62352216
1,0.63887584
0,0.47105598
0,0.2637865
1,0.7888455
0,0.79456115
0,0.80999374
0,0.8301461
1,0.67870283
1,0.62690336
0,0.47337145
0,0.4675351
0,0.65045995
0,0.69710064
0,0.49625066
0,0.519781
1,0.5436678
0,0.44055963
0,0.35097915
0,0.48234156
1,0.7869961
0,0.48561335
0,0.2912057
0,0.48673755
1,0.44268084
1,0.7880465
1,0.7059592
1,0.7886113
1,0.82118744
1,0.5115119
1,0.79507494
0,0.8117355
0,0.8310102
1,0.5275655
1,0.5466594
1,0.5745924
0,0.48195493
1,0.49219608
1,0.39069396
1,0.7483617
0,0.7857757
0,0.8390522
0,0.8390522
0,0.8221824
0,0.8228714
1,0.27453768
1,0.77418715
0,0.817767
1,0.7885262
1,0.83687854
1,0.59590054
1,0.7361834
0,0.7931236
1,0.81291074
0,0.82359546
1,0.6304904
0,0.78372705
0,0.75566417
1,0.4598033
0,0.39062223
0,0.36575583
1,0.795823
1,0.8459447
1,0.82167244
1,0.85449934
1,0.8509264
1,0.85295874
1,0.8471361
1,0.8181895
1,0.8445156
1,0.8119452
1,0.5592816
1,0.68962264
1,0.58297837
0,0.66204673
0,0.34584728
1,0.82531077
1,0.8562932
1,0.85888803
0,0.59228873
0,0.53786325
1,0.46462023
1,0.7464879
0,0.441092
0,0.6737089
0,0.31113726
1,0.8118859
1,0.59969115
1,0.73421454
1,0.76877373
0,0.43129644
1,0.45798832
1,0.65946263
0,0.55780125
0,0.33748487
0,0.39359412
0,0.68606293
1,0.8221406
1,0.4588724
0,0.40950614
0,0.40950614
0,0.41776446
1,0.2786812
0,0.49112755
1,0.8019974
1,0.8474265
1,0.83377814
1,0.8179743
1,0.6338389
1,0.5446334
1,0.7940009
1,0.8001865
1,0.5228822
1,0.77910244
1,0.8088414
0,0.26690185
1,0.79475135
0,0.47384933
1,0.83806163
1,0.6072666
0,0.5539552
1,0.5992552
1,0.69769233
1,0.82300776
0,0.5015333
0,0.78208226
0,0.766485
0,0.8229614
0,0.43246847
1,0.8130347
0,0.3227549
1,0.79032916
0,0.7798117
0,0.5633297
1,0.76985514
0,0.74118865
0,0.37208167
1,0.5601873
0,0.48678252
0,0.7285588
0,0.53129387
0,0.4203522
0,0.514491
1,0.47677982
1,0.67212784
1,0.84374225
1,0.83113927
1,0.83113927
1,0.84187067
1,0.8495979
1,0.83113927
1,0.8316969
0,0.80993533
0,0.81258667
0,0.5924226
1,0.83497804
0,0.80736166
0,0.8438855
0,0.5761163
1,0.69530594
1,0.5236392
1,0.7857584
1,0.67210644
1,0.7554107
1,0.74701184
1,0.65024143
1,0.6633182
0,0.2932649
1,0.5441674
0,0.39293554
1,0.8232676
1,0.84456146
1,0.84456146
0,0.80233383
0,0.48904812
1,0.45674223
1,0.7798689
1,0.7870782
0,0.49648046
1,0.60258126
0,0.51929486
0,0.8011677
0,0.79563516
0,0.33397627
1,0.45551553
0,0.47979453
0,0.6366675
0,0.6366675
0,0.6742534
0,0.6910081
1,0.7649386
0,0.32324398
0,0.31662953
0,0.3432759
0,0.3480515
0,0.44789767
0,0.59608364
1,0.80970484
0,0.8153963
1,0.5915265
0,0.38659105
0,0.72171056
0,0.47830537
0,0.49691626
1,0.70874727
0,0.80737495
0,0.15510702
1,0.79558414
1,0.7973798
0,0.42348355
1,0.81490064
0,0.7711687
1,0.43955305
1,0.49557358
0,0.52123356
1,0.8314632
0,0.83641577
0,0.79485303
0,0.43379444
1,0.73493683
1,0.7390622
0,0.31052497
0,0.4197455
0,0.435569
0,0.42779666
0,0.75349236
0,0.79404247
1,0.847961
0,0.15785106
0,0.18625173
0,0.38926685
0,0.73905855
0,0.4241861
1,0.4988077
0,0.47021988
0,0.59944546
0,0.6270195
0,0.42929843
1,0.264599
1,0.5975074
0,0.67296344
1,0.74072737
0,0.25058
1,0.4976587
1,0.64975274
0,0.70297724
0,0.7274105
1,0.42150536
0,0.5731888
0,0.75715107
1,0.8523294
0,0.6332111
0,0.43013474
0,0.4390375
1,0.5429245
0,0.72250074
0,0.79018706
0,0.5814233
0,0.54883146
0,0.6299145
0,0.4605295
1,0.32040563
0,0.61622804
0,0.68184793
1,0.59833723
0,0.6342038
1,0.72024
1,0.586414
1,0.72024
1,0.748816
1,0.8184857
1,0.8398073
1,0.77688676
1,0.76336193
0,0.5217823
1,0.828667
0,0.4024541
1,0.8193791
1,0.83736265
0,0.62966645
1,0.7349311
1,0.4889205
1,0.50854874
0,0.6275549
0,0.8181343
0,0.6631933
0,0.7881503
0,0.4460482
1,0.16575867
1,0.8380231
1,0.8352066
0,0.32622984
0,0.46539202
1,0.831599
1,0.79456675
1,0.82753634
0,0.7349291
0,0.82043976
0,0.46780306
1,0.30828696
0,0.6425835
1,0.2750104
0,0.45088917
0,0.29124147
0,0.8508436
1,0.6525529
0,0.22091925
0,0.38192645
0,0.58021176
0,0.46518672
1,0.52073145
0,0.5496421
0,0.44005403
1,0.59945875
1,0.73537207
1,0.3714946
1,0.3687301
0,0.64254653
1,0.4400065
0,0.7480012
0,0.45219862
0,0.16738066
1,0.7716539
0,0.38881186
0,0.44910237
0,0.31326452
1,0.8403818
0,0.465553
0,0.83575
1,0.7736559
1,0.8528632
1,0.80976844
1,0.764472
1,0.81642926
1,0.7189553
1,0.7424278
1,0.7613846
1,0.7626779
1,0.72240245
0,0.15244041
0,0.1869529
0,0.17223053
0,0.16784073
1,0.42155203
1,0.43113112
1,0.5485178
1,0.42559955
0,0.41915628
0,0.41915628
0,0.5214401
1,0.7794714
0,0.6832867
0,0.74642444
0,0.7290442
1,0.53927135
