y_true,y_prob
0,0.047180187
1,0.96071976
1,0.59117407
1,0.96012235
0,0.10587727
0,0.023539228
0,0.024506392
0,0.017899213
1,0.98416007
0,0.0012498719
0,0.06685406
1,0.9719906
1,0.98112106
1,0.99582607
1,0.99392205
1,0.99642164
1,0.99766326
1,0.98975563
1,0.99081576
1,0.99797857
1,0.99193126
1,0.95427716
0,0.04618394
1,0.9991388
1,0.9996344
1,0.9729827
1,0.99939835
1,0.9999948
0,0.15117827
0,0.012272489
1,0.96468455
1,0.9703551
1,0.9998418
1,0.9998418
0,0.7051357
0,0.0003718726
1,0.9600686
0,0.04127088
0,0.03941095
0,0.037490204
1,0.72510195
0,0.0015583244
1,0.96377647
0,0.23137549
1,0.99828494
0,0.006198161
1,0.9985305
0,0.038350716
1,0.99359775
1,0.822479
1,0.99690485
1,0.9756019
0,0.15100525
1,0.9647287
0,0.016434897
1,0.99952346
1,0.9935998
0,0.00031386473
0,0.0027200617
1,0.9728206
0,0.0017784956
0,0.001041369
0,3.4881687e-05
1,0.99980515
1,0.25991067
0,0.0062827286
0,0.0041842754
0,0.061666407
0,0.0013943719
0,0.06091569
0,0.0062417206
1,0.868523
0,0.006867435
0,0.010088959
0,0.029466642
1,0.9932993
0,0.005885127
0,0.0016769262
0,0.0018343787
1,0.9850107
1,0.998605
1,0.98563623
1,0.88235515
1,0.7906574
1,0.60400236
1,0.9842026
0,0.44768876
0,0.738359
1,0.99816495
1,0.9980983
1,0.99912834
0,0.0013975151
1,0.9743833
1,0.9455274
1,0.98513675
0,0.12374901
0,0.012173405
0,0.0126914745
0,0.009952813
0,0.08259347
1,0.994839
1,0.9277937
0,0.6058195
1,0.9989669
1,0.9999476
1,0.99834394
1,0.86355126
0,0.09504091
1,0.12977107
0,0.59706616
1,0.91358846
0,0.004969941
0,0.022444643
1,0.84621286
0,0.005090539
0,0.03912654
1,0.9997389
1,0.9998589
1,0.99984956
1,0.9998824
1,0.9998862
1,0.999861
1,0.9998671
1,0.9999152
1,0.9997563
1,0.9997597
1,0.9998238
1,0.99949384
1,0.99951303
0,0.28066733
0,0.00067381194
1,0.9999586
1,0.9985891
1,0.99961126
0,0.00020938437
0,0.12388547
1,0.9683574
1,0.9368091
0,0.042145997
0,0.015048714
0,0.030720964
1,0.9980249
1,0.6104076
1,0.5893919
1,0.82114637
0,0.23052299
1,0.98179907
1,0.9514291
0,0.30622455
0,0.0014841062
0,0.0003259075
0,0.552495
1,0.53152394
1,0.9637382
0,0.006889491
0,0.009285263
0,0.009022087
1,0.9565037
0,0.8618522
1,0.9997723
1,0.99984705
1,0.99987143
1,0.9998482
1,0.9997952
1,0.9998561
1,0.99985385
1,0.9998816
1,0.9998147
1,0.99932975
1,0.5277896
0,9.656844e-05
1,0.9998039
0,4.1900672e-05
1,0.99997437
1,0.98967355
0,0.0168453
1,0.8153068
1,0.88444924
1,0.9801284
0,0.16934888
0,0.40902227
0,0.37419927
0,0.5284623
0,0.0001646489
1,0.9955172
0,0.02809924
1,0.9011505
0,0.03143745
0,0.7934762
1,0.6506111
0,0.11538044
0,0.0013800871
1,0.8554702
0,0.24336153
0,0.009839166
0,0.0020627866
0,0.018350108
0,0.109588586
1,0.9978113
1,0.6005781
1,0.9854706
1,0.9823697
1,0.9823697
1,0.9872313
1,0.9871304
1,0.9823697
1,0.95272744
0,0.02170133
0,0.09230568
0,0.017835233
1,0.9999168
0,0.10034126
0,0.08257079
0,0.003996977
1,0.4206618
1,0.44199678
1,0.97643185
1,0.9679687
1,0.96332604
1,0.9671612
1,0.9702096
1,0.9688743
0,0.00043847086
1,0.98662436
0,0.118840076
1,0.9504389
1,0.99989444
1,0.99989444
0,0.0030932073
0,0.04837495
1,0.9999806
1,0.96501297
1,0.9692447
0,0.050438575
1,0.42821813
0,9.89223e-05
0,0.16777438
0,0.0780969
0,0.15682301
1,0.96646637
0,0.009900672
0,0.111443825
0,0.12023744
0,0.15555318
0,0.5066021
1,0.38916567
0,0.0007894532
0,0.0060740956
0,0.004730315
0,0.0002707374
0,0.00033063092
0,0.004869233
1,0.59749806
0,0.20141874
1,0.38585326
0,0.006228649
0,0.33407193
0,0.01965926
0,0.020184776
1,0.99242014
0,0.4825633
0,0.005955166
1,0.99935603
1,0.9945324
0,0.14551394
