y_true,y_prob
0,0.21427764
1,0.5210898
1,0.8736941
1,0.9578942
0,0.36895376
0,0.14924356
0,0.084737144
0,0.061581694
1,0.941803
0,0.04786027
0,0.44328442
1,0.5766977
1,0.90314853
1,0.9104204
1,0.9486211
1,0.93171746
1,0.9451267
1,0.8102489
1,0.93243754
1,0.93887806
1,0.9346173
1,0.95447177
0,0.12372435
1,0.8978914
1,0.851685
1,0.34800708
1,0.82671976
1,0.90809613
0,0.44576532
0,0.30790058
1,0.8863678
1,0.6874472
1,0.867147
1,0.867147
0,0.28337172
0,0.25238305
1,0.8526071
0,0.07530588
0,0.10253627
0,0.13763289
1,0.6859157
0,0.2674339
1,0.6513609
0,0.08894848
1,0.5026693
0,0.2200147
1,0.80172473
0,0.2681599
1,0.9516907
1,0.23659755
1,0.63881326
1,0.7568674
0,0.12473268
1,0.9656398
0,0.054999452
1,0.94649917
1,0.98206586
0,0.030882446
0,0.19317654
1,0.91868055
0,0.21923545
0,0.19785193
0,0.3427619
1,0.942282
1,0.23562145
0,0.11964096
0,0.08872703
0,0.16759934
0,0.062326215
0,0.06419563
0,0.3200849
1,0.62139124
0,0.2044524
0,0.30721858
0,0.3364183
1,0.41793528
0,0.08360508
0,0.129519
0,0.08491229
1,0.61125296
1,0.49961877
1,0.6883883
1,0.51794374
1,0.58104295
1,0.26490945
1,0.92329115
0,0.1897537
0,0.5755663
1,0.71351033
1,0.61915684
1,0.7383912
0,0.45838642
1,0.62666285
1,0.43291625
1,0.543644
0,0.23249337
0,0.3372386
0,0.1849988
0,0.47953886
0,0.5814697
1,0.8907635
1,0.71830785
0,0.29749522
1,0.9392738
1,0.87810385
1,0.93833005
1,0.6515195
0,0.3290669
1,0.5661927
0,0.40923184
1,0.6571803
0,0.1387093
0,0.10278059
1,0.85501844
0,0.24992171
0,0.13403635
1,0.91765004
1,0.91226214
1,0.85046417
1,0.99469733
1,0.99023473
1,0.98893666
1,0.9849979
1,0.84440726
1,0.91331077
1,0.8648268
1,0.92452455
1,0.9151345
1,0.8724803
0,0.18634897
0,0.19730048
1,0.9647131
1,0.8693204
1,0.95191693
0,0.14338216
0,0.17254867
1,0.3495859
1,0.32653597
0,0.13342866
0,0.18089736
0,0.12551552
1,0.91899055
1,0.5301304
1,0.71597075
1,0.4138764
0,0.30694196
1,0.6585138
1,0.4159834
0,0.31731474
0,0.02760836
0,0.074967146
0,0.27327335
1,0.5001099
1,0.640181
0,0.028528877
0,0.02902751
0,0.014581372
1,0.5602897
0,0.25423986
1,0.8508503
1,0.92963874
1,0.9549665
1,0.9235426
1,0.8656432
1,0.89770097
1,0.9314981
1,0.9372003
1,0.7865103
1,0.78076094
1,0.77400213
0,0.23658736
1,0.8450898
0,0.13055009
1,0.98407435
1,0.7904497
0,0.23713998
1,0.52946484
1,0.49451485
1,0.6839074
0,0.3605765
0,0.18932362
0,0.17232376
0,0.28800967
0,0.09816454
1,0.62687385
0,0.08278074
1,0.83012784
0,0.2559299
0,0.6352877
1,0.5962186
0,0.17038627
0,0.050203588
1,0.5988587
0,0.1337422
0,0.27070212
0,0.03312045
0,0.26747823
0,0.100930795
1,0.86210436
1,0.62582535
1,0.9856549
1,0.9836849
1,0.9836849
1,0.9814662
1,0.98263526
1,0.9836849
1,0.8670103
0,0.17523704
0,0.21340548
0,0.2678031
1,0.91404843
0,0.09574782
0,0.39474934
0,0.06578177
1,0.46493524
1,0.4854326
1,0.98156667
1,0.9183639
1,0.9130191
1,0.89054936
1,0.8964122
1,0.8686733
0,0.08524697
1,0.80229944
0,0.37750855
1,0.93431115
1,0.96193224
1,0.96193224
0,0.3327519
0,0.13380994
1,0.8707334
1,0.8802266
1,0.7567363
0,0.20728838
1,0.21898137
0,0.08942915
0,0.114982195
0,0.11067939
0,0.3200363
1,0.77662617
0,0.30197778
0,0.39196074
0,0.35344926
0,0.23516293
0,0.36911902
1,0.5094571
0,0.12364671
0,0.05352105
0,0.08019223
0,0.09321944
0,0.048948668
0,0.106439374
1,0.8401833
0,0.7128845
1,0.46192378
0,0.033421826
0,0.123522
0,0.06863957
0,0.065875195
1,0.7678837
0,0.5738272
0,0.04152866
1,0.90201646
1,0.8789589
0,0.3345452
1,0.6774102
0,0.47051337
1,0.8324901
1,0.8478842
0,0.09917362
1,0.9140535
0,0.3566035
0,0.09390391
0,0.35754278
1,0.7586266
1,0.36816123
0,0.33763
0,0.16927224
0,0.10184711
0,0.09499805
0,0.2024613
0,0.153857
1,0.97998464
0,0.14696646
0,0.19359685
0,0.065146275
0,0.2187188
0,0.049554963
1,0.8872871
0,0.2502244
0,0.09999856
0,0.22673659
0,0.17526342
1,0.77556384
1,0.91731447
0,0.56031394
1,0.9440619
0,0.32291535
1,0.65883315
1,0.18248504
0,0.12682721
0,0.16873726
1,0.37535992
0,0.3019621
0,0.50835943
1,0.98106694
0,0.06680246
0,0.29869047
0,0.124755695
1,0.74176264
0,0.20825534
0,0.27944154
0,0.2851751
0,0.20664707
0,0.107792124
0,0.18405804
1,0.7792716
0,0.19688997
0,0.20932406
1,0.45885628
0,0.3572311
1,0.8370682
1,0.9167193
1,0.8611947
1,0.9425484
1,0.9510974
1,0.9480395
1,0.9354663
1,0.9168617
0,0.0995387
1,0.9483147
0,0.25261772
1,0.9512716
1,0.98767126
0,0.2566005
1,0.44734174
1,0.36302164
1,0.36288288
0,0.15579619
0,0.41527146
0,0.43469647
0,0.38797343
0,0.40899262
1,0.3048504
1,0.6970192
1,0.81690127
0,0.13326898
0,0.09744713
1,0.85967845
1,0.87737095
1,0.79326934
0,0.15269342
0,0.22610779
0,0.13071091
1,0.43942347
0,0.2586913
1,0.42710584
0,0.114075616
0,0.12161997
