y_true,y_prob
0,0.08500153
1,0.5281737
1,0.76703376
1,0.7573333
0,0.15666422
0,0.15021211
0,0.19498864
0,0.026787555
1,0.8716409
0,0.06634356
0,0.3373796
1,0.78918016
1,0.80988675
1,0.85759586
1,0.90964943
1,0.90964943
1,0.8723146
1,0.86169916
1,0.9218714
1,0.92517877
1,0.86169916
1,0.9218714
0,0.09899186
1,0.95799595
1,0.98733425
1,0.5519036
1,0.9231289
1,0.9917983
0,0.6329335
0,0.28359053
1,0.93689257
1,0.5960452
1,0.9867027
1,0.9867027
0,0.36146668
0,0.08044591
1,0.88233477
0,0.076881915
0,0.14055303
0,0.14055303
1,0.38809633
0,0.17809284
1,0.8190691
0,0.08382372
1,0.9122015
0,0.17972434
1,0.93357027
0,0.37775114
1,0.9243588
1,0.45562872
1,0.31192404
1,0.8506299
0,0.10163452
1,0.90738136
0,0.056467053
1,0.947993
1,0.9510252
0,0.019331703
0,0.063112095
1,0.9766322
0,0.14302565
0,0.09380467
0,0.13148686
1,0.98584425
1,0.16597296
0,0.109333515
0,0.1369312
0,0.22261499
0,0.04473015
0,0.11617705
0,0.109336674
1,0.63661474
0,0.13679399
0,0.30110827
0,0.12930246
1,0.7308659
0,0.13361733
0,0.051837683
0,0.1925047
1,0.6435304
1,0.8468996
1,0.84608996
1,0.84824383
1,0.84824383
1,0.6604302
1,0.98207355
0,0.30742884
0,0.4267131
1,0.9076014
1,0.75129455
1,0.9557906
0,0.20145947
1,0.4878113
1,0.43015614
1,0.8590744
0,0.27563015
0,0.22852191
0,0.22852191
0,0.2946158
0,0.3838616
1,0.8305382
1,0.91414094
0,0.30665
1,0.93501776
1,0.966731
1,0.88040936
1,0.46944955
0,0.46184936
1,0.5893641
0,0.050887514
1,0.6566122
0,0.12239794
0,0.21735941
1,0.6357589
0,0.2024336
0,0.13720949
1,0.974848
1,0.99320024
1,0.9889404
1,0.99601966
1,0.9965904
1,0.99481
1,0.9965289
1,0.9928231
1,0.9940475
1,0.99232966
1,0.9239878
1,0.9629554
1,0.93679106
0,0.22829773
0,0.04709322
1,0.9903944
1,0.9424785
1,0.9424785
0,0.058406975
0,0.35082552
1,0.40394697
1,0.22311936
0,0.08308646
0,0.11485776
0,0.07493351
1,0.93030185
1,0.83333105
1,0.7571959
1,0.8613161
0,0.16300552
1,0.6368136
1,0.39967576
0,0.3455363
0,0.030976834
0,0.04425799
0,0.32118517
1,0.7965877
1,0.30444792
0,0.04477193
0,0.07147404
0,0.067380585
1,0.75804365
0,0.49714434
1,0.9928988
1,0.9929762
1,0.987717
1,0.992249
1,0.98796266
1,0.98271865
1,0.992249
1,0.9801344
1,0.98820055
1,0.9931253
1,0.5821899
0,0.2812124
1,0.56086606
0,0.026556442
1,0.99641573
1,0.8708919
0,0.059820905
1,0.6796605
