y_true,y_prob
0,0.3960041
1,0.47257784
1,0.7728698
1,0.5214465
0,0.308616
0,0.19282097
0,0.19282097
0,0.07444175
1,0.9185116
0,0.24790256
0,0.61142427
1,0.76329327
1,0.6862773
1,0.7884598
1,0.86865765
1,0.86865765
1,0.79227525
1,0.7884598
1,0.86865765
1,0.9277187
1,0.7884598
1,0.86865765
0,0.19297566
1,0.9614274
1,0.89799243
1,0.8317497
1,0.5931114
1,0.7354088
0,0.47397298
0,0.17777064
1,0.7390358
1,0.44652
1,0.7625759
1,0.7625759
0,0.15356897
0,0.17170796
1,0.5286796
0,0.25994557
0,0.1757134
0,0.13843516
1,0.6793342
0,0.15547405
1,0.9518318
0,0.4305355
1,0.583463
0,0.35075918
1,0.75348514
0,0.26165414
1,0.9934768
1,0.47428668
1,0.23633356
1,0.30740064
0,0.12343111
1,0.37201625
0,0.07044807
1,0.50991106
1,0.4359398
0,0.30233482
0,0.22762486
1,0.9193457
0,0.63618535
0,0.2811749
0,0.25580224
1,0.7013684
1,0.5164932
0,0.24626212
0,0.23379149
0,0.39088055
0,0.31080687
0,0.14163804
0,0.4577515
1,0.6574959
0,0.20650317
0,0.2773922
0,0.30249128
1,0.7957955
0,0.26247153
0,0.21747194
0,0.25814828
1,0.39491215
1,0.83739644
1,0.675068
1,0.82788503
1,0.79169583
1,0.5709382
1,0.8098871
0,0.29141662
0,0.56526643
1,0.7601883
1,0.74628717
1,0.78618497
0,0.23800263
1,0.45041668
1,0.46456978
1,0.7323644
0,0.14249988
0,0.68385124
0,0.68385124
0,0.13622287
0,0.37753484
1,0.31450748
1,0.7098792
0,0.5031329
1,0.9366553
1,0.9282927
1,0.36269104
1,0.7904783
0,0.48996657
1,0.7555607
0,0.54448223
1,0.54079455
0,0.74273074
0,0.40609294
1,0.39256388
0,0.25952289
0,0.24933249
1,0.7457527
1,0.959755
1,0.92714065
1,0.9461027
1,0.9373533
1,0.96428096
1,0.9046461
1,0.867563
1,0.92643726
1,0.9090029
1,0.8798613
1,0.9128142
1,0.85987866
0,0.10905292
0,0.17459722
1,0.8473748
1,0.98466045
1,0.9708152
0,0.29255643
0,0.2895136
1,0.39350772
1,0.46115765
0,0.15806891
0,0.42365852
0,0.117578015
1,0.69964427
1,0.5024725
1,0.49661407
1,0.7061359
0,0.235394
1,0.44671875
1,0.7948441
0,0.25495416
0,0.11715601
0,0.085845806
0,0.2193002
1,0.7727635
1,0.27892044
0,0.09478529
0,0.09478529
0,0.0717587
1,0.6532608
0,0.2938546
1,0.78151166
1,0.9595428
1,0.93268114
1,0.9195574
1,0.69396687
1,0.6493967
1,0.8305055
1,0.8711337
1,0.6442303
1,0.8094453
1,0.85205156
0,0.23867492
1,0.6326639
0,0.19417703
1,0.9065523
1,0.45992878
0,0.26464903
1,0.61531717
1,0.5596524
1,0.86562335
0,0.54259115
0,0.40832666
0,0.43653837
0,0.29736763
0,0.07299177
1,0.77083707
0,0.12772997
1,0.7397091
0,0.6973928
0,0.27545145
1,0.5963569
0,0.41191712
0,0.22181377
1,0.53796273
0,0.41452754
0,0.40082163
0,0.06295965
0,0.33275726
0,0.42185938
1,0.46645847
1,0.53621286
1,0.9924489
1,0.98514265
1,0.98514265
1,0.9724143
1,0.9932753
1,0.98514265
1,0.80687356
0,0.45002654
0,0.5907433
0,0.23000742
1,0.8142894
0,0.24093996
0,0.8091253
0,0.40246844
1,0.56726354
1,0.34060833
1,0.9547479
1,0.33496717
1,0.4604028
1,0.3740602
1,0.34117773
1,0.807473
0,0.061783254
1,0.8036046
0,0.25455865
1,0.889659
1,0.98504573
1,0.98504573
0,0.4874876
0,0.31539696
1,0.5497732
1,0.63963944
1,0.68847907
0,0.33785468
1,0.4819991
0,0.20590611
0,0.18701006
0,0.17515366
0,0.11854941
1,0.3848128
0,0.306369
0,0.11334823
0,0.11334823
0,0.1543277
0,0.6514014
1,0.49644235
0,0.09803332
0,0.17475477
0,0.07784731
0,0.1527698
0,0.14770432
0,0.22429855
1,0.59041333
0,0.49326265
1,0.5730902
0,0.07584491
0,0.68571943
0,0.13065894
0,0.08834216
1,0.5447234
0,0.3854975
0,0.05281334
1,0.5378506
1,0.76297706
0,0.22221285
1,0.944237
0,0.79966706
1,0.7067649
1,0.68406564
0,0.13500613
1,0.8395238
0,0.42704734
0,0.5727983
0,0.21487431
1,0.548781
1,0.7982416
0,0.17749374
0,0.2316052
0,0.15262339
0,0.081906214
0,0.31720325
0,0.38316262
1,0.9602055
0,0.034749456
0,0.08231199
0,0.080495395
0,0.40257353
0,0.18193603
1,0.8292406
0,0.17777021
0,0.19830102
0,0.42430893
0,0.08223811
1,0.6463277
1,0.55897665
0,0.6956314
1,0.8576441
0,0.15153824
1,0.63637483
1,0.22512312
0,0.21817052
0,0.27144653
1,0.19082744
0,0.25921455
0,0.33612216
1,0.92459446
0,0.07889508
0,0.27710074
0,0.03302012
1,0.2772726
0,0.47916064
0,0.5461309
0,0.12788108
0,0.24922295
0,0.5150524
0,0.17996009
1,0.11669909
0,0.23088297
0,0.42179796
1,0.5383394
0,0.37212262
1,0.9823658
1,0.9339629
1,0.9823658
1,0.9381184
1,0.96281826
1,0.9484928
1,0.9800362
1,0.9550231
0,0.1304018
1,0.9485622
0,0.114234045
1,0.98362494
1,0.9194349
0,0.4403133
1,0.45509964
1,0.51862323
1,0.59543705
0,0.3274288
0,0.3216963
0,0.5694584
0,0.45048335
0,0.32054543
1,0.13085154
1,0.7875315
1,0.76686144
0,0.12732755
0,0.19145453
1,0.7734671
1,0.7145214
1,0.81978625
0,0.3303441
0,0.36060274
0,0.16434282
1,0.25910637
0,0.37010568
1,0.39247572
0,0.34391963
0,0.08143901
0,0.32473296
1,0.43534693
0,0.049051058
0,0.20085864
0,0.10532857
0,0.15594827
1,0.5730863
0,0.3031931
0,0.19993372
1,0.94583523
1,0.6026609
1,0.57797277
1,0.45388424
0,0.32812583
1,0.46886835
0,0.38118276
0,0.33195063
0,0.06697351
1,0.6243619
0,0.23168662
0,0.2762127
0,0.13816622
1,0.901961
0,0.2958479
0,0.712533
1,0.73188275
1,0.942344
1,0.8740724
1,0.6392649
1,0.77200234
1,0.6891667
1,0.7471094
1,0.6518115
1,0.6948823
1,0.57650554
0,0.08024212
0,0.28331158
0,0.04536759
0,0.068160616
1,0.5579441
1,0.29111758
1,0.36526397
1,0.5679453
0,0.12736256
0,0.12736256
0,0.27337217
1,0.7043649
0,0.1676263
0,0.08887696
0,0.39222953
1,0.3774982
0,0.49395818
0,0.22752
0,0.3644406
0,0.10622584
0,0.40433967
0,0.12557521
1,0.77996016
0,0.06752016
0,0.39042494
0,0.5461766
1,0.9185047
0,0.29306656
1,0.72216284
1,0.682202
1,0.960863
1,0.9422096
0,0.2564819
0,0.5002211
1,0.4391352
1,0.7416342
1,0.8436228
0,0.40170178
0,0.38942376
