,Label
10785,0
14280,1
13821,1
4027,1
9636,0
6229,0
7917,0
6646,0
2370,1
9568,0
5758,0
3031,1
13008,1
13300,1
13349,1
13877,1
13903,1
13913,1
14113,1
14126,1
14180,1
14312,1
6024,0
4437,1
4474,1
2746,1
13841,1
1814,1
12947,0
12910,0
4539,1
2635,1
831,1
2073,1
12124,0
12685,0
2280,1
7582,0
5939,0
7109,0
476,1
11292,0
3376,1
9619,0
352,1
7962,0
2337,1
7489,0
14968,1
303,1
1452,1
3372,1
6433,0
14236,1
7522,0
556,1
681,1
7015,0
11069,0
3324,1
6592,0
5982,0
9575,0
4554,1
1376,1
6788,0
7663,0
8632,0
12129,0
12489,0
11523,0
1343,1
8313,0
9004,0
6188,0
4655,1
9337,0
9184,0
9338,0
2548,1
2600,1
5005,1
2740,1
2765,1
1462,1
15052,1
9591,0
7323,0
2925,1
3505,1
4230,1
12956,0
593,1
5358,1
4768,1
11329,0
6490,0
9064,0
11957,0
12215,0
3561,1
2823,1
12705,0
15110,1
3150,1
2549,1
2309,1
11450,0
13151,1
7418,0
4430,1
11508,0
11597,0
4620,1
12550,0
9091,0
14702,1
14794,1
14818,1
15044,1
15045,1
15046,1
15047,1
15049,1
15088,1
15089,1
13609,1
13635,1
13854,1
7024,0
6880,0
14784,1
14836,1
14839,1
12653,0
5562,0
2571,1
127,1
6450,0
7655,0
12263,0
13634,1
4106,1
4109,1
4111,1
12535,0
15104,1
4659,1
10610,0
5947,0
8534,0
7168,0
3925,1
2893,1
8068,0
8241,0
8671,0
13351,1
10530,0
12998,1
13212,1
13532,1
13898,1
13999,1
14023,1
14142,1
14143,1
14157,1
14175,1
4987,1
8077,0
13910,1
9860,0
15041,1
658,1
12055,0
678,1
461,1
2978,1
10520,0
5944,0
7030,0
7140,0
9874,0
3200,1
5903,0
4896,1
11919,0
11418,0
4325,1
10160,0
8472,0
4869,1
7735,0
7105,0
8463,0
5725,0
10397,0
2388,1
1800,1
633,1
636,1
637,1
641,1
642,1
702,1
3253,1
6536,0
7366,0
10485,0
2410,1
11780,0
11801,0
7206,0
5423,1
5448,1
14105,1
14128,1
14195,1
14367,1
14374,1
14412,1
9154,0
3614,1
5711,0
2405,1
14946,1
14949,1
9186,0
5864,0
2457,1
2056,1
3760,1
5898,0
182,1
8181,0
5987,0
9263,0
10756,0
3909,1
10590,0
11584,0
11638,0
11782,0
12568,0
14488,1
5984,0
6418,0
8028,0
9027,0
9751,0
11291,0
2172,1
11750,0
584,1
7808,0
12725,0
6821,0
7723,0
1637,1
11682,0
7649,0
1033,1
1034,1
10405,0
4191,1
12638,0
13655,1
13765,1
10702,0
13548,1
12433,0
9651,0
10977,0
3408,1
296,1
12959,0
11404,0
11554,0
12021,0
10425,0
10518,0
3350,1
10006,0
10206,0
5604,0
11914,0
6404,0
14392,1
9058,0
12536,0
10310,0
5856,0
3264,1
13471,1
11624,0
1918,1
8687,0
13178,1
2241,1
7516,0
9604,0
1480,1
10957,0
7952,0
13897,1
7293,0
6548,0
7039,0
5373,1
8901,0
12700,0
12871,0
9432,0
7586,0
6717,0
3423,1
11692,0
5619,0
4618,1
11698,0
13299,1
13487,1
13670,1
13998,1
14173,1
14220,1
14238,1
14305,1
8619,0
1232,1
6321,0
4294,1
4304,1
6297,0
229,1
1501,1
1503,1
7701,0
8748,0
11041,0
12094,0
12358,0
1586,1
4045,1
2284,1
10852,0
12688,0
4971,1
995,1
2785,1
7286,0
10470,0
12134,0
1559,1
9158,0
2861,1
11002,0
8575,0
7943,0
397,1
5849,0
6546,0
10240,0
9753,0
3287,1
6341,0
6342,0
13955,1
375,1
13302,1
13886,1
6451,0
1816,1
12692,0
7843,0
8398,0
1018,1
5819,0
5615,0
10462,0
3548,1
6749,0
12612,0
615,1
3138,1
4569,1
4839,1
5072,1
14997,1
14998,1
15154,1
1522,1
2412,1
7669,0
10327,0
10534,0
12738,0
13887,1
13894,1
14091,1
14130,1
8567,0
12111,0
12247,0
1949,1
5886,0
7303,0
12960,0
1456,1
10671,0
6995,0
9922,0
6337,0
12872,0
12272,0
4755,1
9629,0
6799,0
11273,0
501,1
6648,0
4444,1
4479,1
4607,1
690,1
8634,0
11989,0
827,1
2816,1
1896,1
11017,0
5692,0
13381,1
14970,1
15099,1
9558,0
8518,0
9611,0
11164,0
4795,1
11194,0
14932,1
12592,0
2262,1
2264,1
2336,1
9566,0
8490,0
13378,1
13495,1
255,1
12052,0
11530,0
11544,0
11560,0
11567,0
12770,0
4507,1
2771,1
2772,1
5463,1
2990,1
3190,1
9132,0
1734,1
3219,1
3440,1
13617,1
8686,0
4879,1
4881,1
12116,0
13497,1
14018,1
14297,1
14444,1
6146,0
6384,0
325,1
7158,0
1871,1
2668,1
563,1
1337,1
10820,0
1767,1
2581,1
9221,0
5442,1
3389,1
5765,0
783,1
14471,1
14472,1
14481,1
14484,1
14493,1
14503,1
