Index,MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,NumAromaticRings,NumSaturatedRings,NumHeteroatoms,RingCount,HeavyAtomCount,NumAliphaticRings
4866,420.4500000000001,2.4036999999999997,2.0,6.0,113.64999999999999,5.0,4.0,0.0,9.0,4.0,30.0,0.0
8815,469.53800000000035,2.2367999999999997,2.0,7.0,98.36000000000001,8.0,2.0,1.0,9.0,4.0,34.0,2.0
1281,340.44800000000004,4.563200000000005,0.0,5.0,34.59,6.0,3.0,1.0,5.0,4.0,24.0,1.0
10826,389.47700000000003,1.7015999999999993,2.0,5.0,105.23,10.0,2.0,0.0,8.0,2.0,27.0,0.0
3565,316.744,3.5303200000000015,2.0,3.0,67.42999999999999,2.0,2.0,0.0,6.0,3.0,22.0,1.0
15237,370.40100000000007,3.289300000000002,2.0,6.0,93.06000000000002,9.0,2.0,0.0,6.0,2.0,27.0,0.0
512,385.85500000000013,3.8011000000000026,0.0,5.0,80.98000000000002,2.0,3.0,0.0,8.0,3.0,27.0,0.0
7451,392.5470000000002,3.9212000000000025,0.0,3.0,41.370000000000005,3.0,2.0,5.0,5.0,7.0,29.0,5.0
2543,327.34,1.6378999999999992,2.0,5.0,95.05999999999999,5.0,3.0,0.0,7.0,3.0,24.0,0.0
4869,208.22,2.6697800000000003,1.0,2.0,48.42999999999999,0.0,3.0,0.0,3.0,3.0,16.0,0.0
13001,440.58800000000036,2.452400000000001,2.0,5.0,87.9,8.0,1.0,2.0,7.0,3.0,32.0,2.0
1189,412.5110000000001,2.9582000000000006,2.0,4.0,98.48999999999998,7.0,3.0,0.0,7.0,3.0,29.0,0.0
10817,325.32400000000007,1.5434999999999999,0.0,6.0,83.31,5.0,3.0,0.0,7.0,3.0,24.0,0.0
12874,424.276,2.979000000000001,0.0,7.0,85.53000000000002,5.0,2.0,1.0,9.0,3.0,25.0,1.0
12679,399.8340000000002,3.045600000000001,1.0,6.0,88.06999999999998,5.0,2.0,1.0,8.0,3.0,28.0,1.0
8328,392.45900000000023,2.5482200000000006,1.0,5.0,76.46000000000001,4.0,3.0,1.0,7.0,4.0,29.0,1.0
7179,339.4390000000001,3.2744000000000018,2.0,3.0,57.510000000000005,5.0,2.0,2.0,5.0,4.0,25.0,2.0
9986,344.4000000000001,2.38722,1.0,7.0,98.73,6.0,3.0,0.0,9.0,3.0,24.0,0.0
4872,406.4780000000001,5.594200000000007,3.0,5.0,90.90000000000002,5.0,3.0,0.0,5.0,3.0,30.0,0.0
14896,422.47700000000015,5.299800000000007,4.0,6.0,111.13000000000001,5.0,3.0,0.0,6.0,3.0,31.0,0.0
14899,338.3590000000001,4.085500000000004,3.0,5.0,90.90000000000002,3.0,3.0,0.0,5.0,3.0,25.0,0.0
15209,300.266,2.5854000000000004,3.0,6.0,100.13000000000001,2.0,3.0,0.0,6.0,3.0,22.0,0.0
15228,384.3840000000001,3.7997000000000027,4.0,7.0,120.36000000000001,4.0,3.0,0.0,7.0,3.0,28.0,0.0
15229,398.4110000000002,4.102700000000003,3.0,7.0,109.36000000000001,5.0,3.0,0.0,7.0,3.0,29.0,0.0
15230,300.266,2.5854000000000013,3.0,6.0,100.13000000000001,2.0,3.0,0.0,6.0,3.0,22.0,0.0
15319,284.26700000000005,2.8798000000000017,2.0,5.0,79.9,2.0,3.0,0.0,5.0,3.0,21.0,0.0
15362,368.3850000000001,4.094100000000003,3.0,6.0,100.13000000000001,4.0,3.0,0.0,6.0,3.0,27.0,0.0
15363,284.267,2.8798000000000012,2.0,5.0,79.9,2.0,3.0,0.0,5.0,3.0,21.0,0.0
15364,284.267,2.8798000000000017,2.0,5.0,79.9,2.0,3.0,0.0,5.0,3.0,21.0,0.0
15561,286.23900000000003,2.2824000000000004,4.0,6.0,111.13000000000001,1.0,3.0,0.0,6.0,3.0,21.0,0.0
15563,270.24,2.576800000000001,3.0,5.0,90.9,1.0,3.0,0.0,5.0,3.0,20.0,0.0
15564,254.24099999999999,2.871200000000001,2.0,4.0,70.67,1.0,3.0,0.0,4.0,3.0,19.0,0.0
14520,381.25900000000024,4.9707000000000034,1.0,4.0,60.45,5.0,2.0,1.0,7.0,3.0,25.0,1.0
252,306.4120000000001,2.407800000000001,0.0,4.0,40.620000000000005,2.0,2.0,1.0,6.0,3.0,20.0,1.0
317,273.307,3.460040000000002,1.0,2.0,38.33,4.0,2.0,0.0,4.0,2.0,20.0,0.0
3249,458.5840000000002,3.6616000000000017,2.0,6.0,84.42,11.0,2.0,0.0,9.0,2.0,32.0,0.0
6697,284.35900000000004,3.078520000000002,1.0,3.0,41.57,5.0,2.0,0.0,4.0,2.0,21.0,0.0
12336,356.4220000000001,3.2410000000000014,2.0,4.0,76.66000000000001,8.0,2.0,0.0,6.0,2.0,26.0,0.0
12722,313.35300000000007,3.327560000000002,2.0,3.0,75.63,5.0,2.0,0.0,5.0,2.0,23.0,0.0
4743,367.88000000000005,5.425620000000005,0.0,4.0,42.160000000000004,4.0,3.0,1.0,5.0,4.0,26.0,1.0
6250,315.336,2.6898800000000005,2.0,5.0,100.61,2.0,3.0,0.0,6.0,4.0,24.0,1.0
7059,345.36200000000014,2.69848,2.0,6.0,109.84,3.0,3.0,0.0,7.0,4.0,26.0,1.0
13291,521.0170000000003,5.681400000000005,2.0,5.0,102.32,11.0,3.0,1.0,9.0,4.0,37.0,1.0
13308,392.8020000000001,2.942100000000001,2.0,4.0,93.09,3.0,3.0,1.0,8.0,4.0,28.0,1.0
13352,549.0710000000001,6.461600000000007,2.0,5.0,102.32,13.0,3.0,1.0,9.0,4.0,39.0,1.0
13359,492.9630000000002,4.901200000000005,2.0,5.0,102.32,9.0,3.0,1.0,9.0,4.0,35.0,1.0
13371,436.8550000000002,3.3408000000000015,2.0,5.0,102.32,5.0,3.0,1.0,9.0,4.0,31.0,1.0
13445,430.46400000000017,3.467600000000001,2.0,5.0,102.32,7.0,3.0,1.0,8.0,4.0,32.0,1.0
13517,464.90900000000016,4.121000000000003,2.0,5.0,102.32,7.0,3.0,1.0,9.0,4.0,33.0,1.0
7733,494.57700000000034,3.7249200000000027,1.0,8.0,119.29,9.0,4.0,1.0,11.0,5.0,35.0,1.0
12146,498.89800000000025,4.035840000000002,1.0,6.0,108.36000000000001,6.0,4.0,0.0,11.0,4.0,35.0,0.0
4197,626.0150000000001,6.952800000000003,2.0,3.0,58.56,4.0,3.0,0.0,8.0,3.0,27.0,0.0
1917,269.30400000000003,2.46152,3.0,2.0,70.23,2.0,2.0,0.0,5.0,2.0,20.0,0.0
5493,345.83000000000004,4.317400000000003,2.0,2.0,61.440000000000005,2.0,2.0,0.0,6.0,2.0,24.0,0.0
11211,380.2750000000001,4.970800000000003,2.0,2.0,61.440000000000005,2.0,2.0,0.0,7.0,2.0,25.0,0.0
8873,337.40100000000007,2.1210999999999998,1.0,7.0,82.57000000000001,8.0,2.0,0.0,8.0,2.0,23.0,0.0
12057,307.375,2.1125,1.0,6.0,73.34,7.0,2.0,0.0,7.0,2.0,21.0,0.0
3016,369.51500000000004,4.333600000000004,0.0,5.0,36.44,5.0,2.0,1.0,6.0,3.0,25.0,1.0
1685,462.47000000000037,3.6884000000000023,2.0,11.0,139.92999999999998,7.0,3.0,1.0,12.0,5.0,34.0,2.0
14274,423.5380000000002,3.891040000000003,1.0,4.0,79.37,4.0,3.0,1.0,7.0,4.0,30.0,1.0
1648,377.44800000000015,1.8695199999999996,3.0,5.0,94.94999999999999,6.0,2.0,0.0,7.0,3.0,28.0,1.0
1162,471.00400000000013,7.138300000000006,0.0,4.0,56.74,7.0,5.0,0.0,6.0,5.0,34.0,0.0
5995,447.6010000000003,3.415700000000002,2.0,4.0,95.58000000000001,5.0,1.0,3.0,8.0,4.0,31.0,3.0
4362,347.4390000000001,4.853720000000004,0.0,2.0,39.07,3.0,4.0,0.0,4.0,4.0,25.0,0.0
13658,518.7100000000004,3.0553000000000017,3.0,7.0,104.33999999999999,3.0,3.0,1.0,9.0,5.0,38.0,2.0
3889,243.262,1.1251,0.0,4.0,46.61,1.0,1.0,1.0,4.0,3.0,18.0,2.0
2886,291.35400000000004,3.694140000000001,2.0,3.0,68.01,3.0,3.0,0.0,4.0,3.0,22.0,0.0
11385,421.4970000000002,4.895500000000003,3.0,3.0,64.6,5.0,3.0,0.0,7.0,4.0,30.0,1.0
11991,377.4880000000001,5.197300000000004,2.0,2.0,27.299999999999997,4.0,3.0,0.0,5.0,4.0,27.0,1.0
5441,341.3670000000001,2.9868000000000015,1.0,7.0,81.51,8.0,2.0,0.0,7.0,2.0,25.0,0.0
7526,370.361,2.3688000000000002,1.0,7.0,111.49,7.0,3.0,0.0,8.0,3.0,27.0,0.0
6887,378.4500000000002,3.7218000000000027,0.0,8.0,83.68,7.0,2.0,1.0,8.0,3.0,26.0,1.0
6262,366.40600000000006,1.3550999999999995,1.0,6.0,94.69999999999999,5.0,4.0,0.0,9.0,4.0,26.0,0.0
11046,336.775,2.460540000000001,1.0,5.0,81.43,6.0,2.0,0.0,7.0,2.0,23.0,0.0
14684,382.50000000000006,5.251600000000005,1.0,4.0,59.67,6.0,2.0,1.0,4.0,3.0,28.0,1.0
3086,444.9190000000002,4.3274000000000035,1.0,6.0,87.95,5.0,2.0,2.0,9.0,4.0,31.0,2.0
14877,398.5430000000002,4.9634000000000045,1.0,4.0,55.760000000000005,5.0,0.0,0.0,4.0,3.0,29.0,3.0
8813,408.88900000000024,4.285000000000003,1.0,5.0,93.93,2.0,2.0,0.0,7.0,4.0,29.0,2.0
14441,633.8010000000004,6.049420000000006,2.0,7.0,104.85,6.0,5.0,1.0,11.0,7.0,47.0,2.0
12902,380.49800000000033,3.594660000000003,1.0,6.0,89.57,4.0,2.0,0.0,7.0,4.0,26.0,2.0
7243,247.32300000000004,1.8081199999999997,1.0,4.0,58.64,4.0,2.0,0.0,5.0,2.0,17.0,0.0
3298,508.57800000000026,4.547000000000004,2.0,6.0,100.63,7.0,4.0,0.0,8.0,5.0,38.0,1.0
3309,487.50600000000014,4.866800000000004,1.0,5.0,71.53,6.0,4.0,0.0,8.0,5.0,36.0,1.0
3316,499.9980000000003,5.550420000000004,1.0,5.0,71.52999999999999,6.0,4.0,0.0,7.0,5.0,36.0,1.0
3319,493.60700000000026,5.712000000000005,1.0,5.0,71.52999999999999,7.0,4.0,0.0,6.0,5.0,37.0,1.0
