,Label
4866,1
8815,0
1281,1
10826,0
3565,1
15237,1
512,1
7451,0
2543,1
4869,1
13001,1
1189,1
10817,0
12874,0
12679,0
8328,0
7179,0
9986,0
4872,1
14896,1
14899,1
15209,1
15228,1
15229,1
15230,1
15319,0
15362,1
15363,1
15364,1
15561,1
15563,1
15564,1
14520,1
252,1
317,1
3249,1
6697,0
12336,0
12722,0
4743,1
6250,0
7059,0
13291,1
13308,1
13352,1
13359,1
13371,1
13445,1
13517,1
7733,0
12146,0
4197,1
1917,1
5493,1
11211,0
8873,0
12057,0
3016,1
1685,1
14274,1
1648,1
1162,1
5995,0
4362,1
13658,1
3889,1
2886,1
11385,0
11991,0
5441,1
7526,0
6887,0
6262,0
11046,0
14684,1
3086,1
14877,1
8813,0
14441,1
12902,0
7243,0
3298,1
3309,1
3316,1
3319,1
5352,1
8833,0
4172,1
5930,0
12961,0
5561,0
10562,0
10044,0
10268,0
8911,0
15010,1
12596,0
11092,0
2370,1
10873,0
6086,0
3031,1
1339,1
6151,0
6215,0
6536,0
7701,0
8005,0
8043,0
8163,0
9077,0
9840,0
10778,0
6360,0
11682,0
11713,0
2746,1
14633,0
1814,1
5856,0
13547,1
8141,0
2635,1
868,1
885,1
8620,0
13064,1
2280,1
12046,0
5566,0
5733,0
476,1
11799,0
3376,1
10171,0
10325,0
10466,0
352,1
7117,0
8921,0
2337,1
5301,1
11285,0
11371,0
11526,0
11533,0
11560,0
11561,0
11562,0
11593,0
11611,0
11677,0
11684,0
11688,0
11694,0
11695,0
11703,0
11723,0
11736,0
11738,0
11752,0
11769,0
11773,0
11790,0
11827,0
11853,0
11885,0
11889,0
11934,0
11937,0
11951,0
11953,0
11961,0
12495,0
781,1
801,1
303,1
1452,1
3372,1
12678,0
15011,1
1842,1
556,1
681,1
14675,0
14676,1
14680,0
14681,0
5550,0
11464,0
3324,1
6915,0
6241,0
9835,0
9595,0
2807,1
8127,0
12182,0
2107,1
12272,0
12278,0
6557,0
4541,1
4704,1
4756,1
4823,1
5950,0
12721,0
6024,0
7463,0
7585,0
3608,1
4000,1
15530,1
4238,1
1462,1
3778,1
6671,0
6080,0
6419,0
6492,0
7145,0
7785,0
8447,0
9226,0
9861,0
7794,0
4236,1
8492,0
8537,0
11852,0
4720,1
44,1
6235,0
6809,0
13223,1
3561,1
2823,1
10117,0
10149,0
909,1
11740,0
11793,0
12013,0
12396,0
12771,0
14203,1
3150,1
2549,1
2309,1
14861,0
14862,1
15018,0
15020,0
15429,1
15430,1
7630,0
12647,0
13296,1
13628,1
14965,0
5840,0
6380,0
13739,1
3519,1
4035,1
4036,1
4037,1
4038,1
4042,1
4043,1
4124,1
4139,1
4140,1
5474,1
11629,0
7968,0
14008,1
8236,0
10794,0
13916,1
13011,1
8781,0
2571,1
127,1
6936,0
9016,0
9222,0
5346,1
8306,0
8877,0
1342,1
6520,0
4937,1
5619,0
6272,0
8793,0
7485,0
5428,1
2893,1
12699,0
6472,0
6509,0
7278,0
7983,0
8994,0
9948,0
8232,0
8293,0
5089,1
10589,0
14695,1
8305,0
15198,1
658,1
12616,0
678,1
1426,1
6035,0
8270,0
4234,1
10177,0
3200,1
6226,0
5246,1
8469,0
13995,1
4713,1
10851,0
12687,0
8256,0
12137,0
8857,0
9914,0
4346,1
13709,1
12552,0
2488,1
4158,1
4159,1
4160,1
4163,1
4169,1
4174,1
2388,1
1800,1
10606,0
3253,1
4004,1
9697,0
2410,1
7434,0
1950,1
1951,1
6116,0
5938,0
7108,0
10441,0
13732,1
3613,1
7922,0
2405,1
8431,0
12483,0
7736,0
2457,1
6406,0
10971,0
182,1
14655,1
10691,0
8761,0
11372,0
11482,0
11498,0
11525,0
3907,1
10604,0
108,1
136,1
11643,0
5911,0
15183,1
15184,0
15185,0
15213,1
15311,0
15312,0
15353,1
15361,1
15366,1
15390,1
15421,0
15422,1
15585,0
15590,1
15591,0
15592,1
2172,1
6433,0
5173,1
584,1
9876,0
13177,1
14012,1
14385,1
14400,1
14401,1
14408,1
14439,1
14449,1
14450,1
14454,1
14460,1
14467,1
14468,1
14485,1
14486,1
14488,1
14495,1
14511,1
14523,1
14524,1
14526,1
14536,1
1637,1
5829,0
8493,0
3693,1
8643,0
10701,0
8685,0
12228,0
14789,1
14790,1
10937,0
12040,0
6709,0
9904,0
9194,0
3408,1
296,1
8902,0
13791,1
14044,1
14045,1
8611,0
3350,1
1478,1
2288,1
10290,0
12280,0
15409,1
15111,0
5590,0
13410,1
6761,0
3264,1
14131,1
10107,0
10163,0
10191,0
10361,0
10374,0
10451,0
10483,0
1918,1
13171,1
13841,1
9201,0
1480,1
10133,0
6138,0
5940,0
7219,0
7873,0
1902,1
6880,0
6828,0
10232,0
12242,0
13033,1
14086,1
14161,1
14346,1
14406,1
14407,1
14438,1
14476,1
14496,1
8745,0
5450,1
4456,1
13740,1
5144,1
3423,1
15412,1
12211,0
13133,1
13253,1
13339,1
13576,1
9913,0
2369,1
2587,1
7751,0
8371,0
5512,1
12639,0
15620,1
8876,0
1232,1
7992,0
4896,1
3133,1
15505,1
9951,0
6665,0
1586,1
4044,1
2284,1
10831,0
8045,0
995,1
2785,1
7554,0
3598,1
3655,1
12437,0
1559,1
9401,0
2861,1
10952,0
4041,1
4083,1
9377,0
397,1
5337,1
13350,1
12052,0
3287,1
6700,0
11217,0
14756,0
375,1
4809,1
6304,0
1816,1
12490,0
6718,0
343,1
10920,0
1018,1
12894,0
12728,0
10742,0
3548,1
7110,0
12946,0
615,1
6734,0
9320,0
6074,0
1522,1
2412,1
11855,0
11856,0
13144,1
13491,1
1008,1
1016,1
12717,0
13949,1
1949,1
6309,0
6986,0
8407,0
14327,1
8633,0
7368,0
7530,0
6457,0
13471,1
13551,1
13692,1
7341,0
7576,0
11309,0
8501,0
501,1
6988,0
5742,0
5784,0
5836,0
690,1
14192,1
14367,1
8629,0
827,1
2816,1
1896,1
11347,0
12055,0
13738,1
7712,0
9650,0
9376,0
9669,0
11620,0
4602,1
4621,1
6462,0
12839,0
10426,0
11705,0
5724,0
14713,1
14714,1
1957,1
3125,1
7233,0
4805,1
5327,1
5082,1
14787,1
14788,1
3824,1
14587,1
14871,1
14898,1
15205,1
15206,1
15207,1
15254,0
15576,1
15577,1
7734,0
7758,0
4904,1
5999,0
6854,0
7297,0
9388,0
11237,0
6220,0
7225,0
10765,0
5300,1
6725,0
325,1
4176,1
4178,1
1871,1
2668,1
563,1
1337,1
3725,1
4296,1
1767,1
2581,1
9468,0
5680,0
9852,0
3389,1
6695,0
7520,0
7600,0
783,1
14498,1
6908,0
9858,0
3087,1
2355,1
2302,1
1891,1
12680,0
13516,1
4007,1
206,1
279,1
4378,1
14626,0
12756,0
7668,0
10326,0
10533,0
12737,0
8061,0
14227,1
9755,0
5994,0
3153,1
200,1
6647,0
7354,0
8366,0
10725,0
7565,0
9555,0
6627,0
2523,1
10173,0
11082,0
12286,0
14699,1
5958,0
13362,1
