,Label,canonical_smiles
5813,1,C#CCOc1ccc2c(C)cc(=O)oc2c1
11297,0,C#CCOc1ccc2c(C)cc(=O)oc2c1
1515,1,C/C=C/Cn1c(N2CCCCCC2)nc2c1c(=O)[nH]c(=O)n2C
10315,0,C/C=C/Cn1c(N2CCCCCC2)nc2c1c(=O)[nH]c(=O)n2C
17327,1,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12
4077,1,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12
16986,1,C=C(C)[C@H](O)[C@H](O)c1c(OC)ccc2ccc(=O)oc12
16876,1,C=C(C)[C@H](O)[C@H](O)c1c(OC)ccc2ccc(=O)oc12
16875,1,C=C(C)[C@H](O)[C@H](O)c1c(OC)ccc2ccc(=O)oc12
16985,1,C=C(C)[C@H](O)[C@H](O)c1c(OC)ccc2ccc(=O)oc12
14592,1,C=C(Cc1ccc(-c2cnc(N)nc2)cc1)c1nc2cc(C#N)ccc2n1Cc1ccccc1Cl
1275,1,C=C(Cc1ccc(-c2cnc(N)nc2)cc1)c1nc2cc(C#N)ccc2n1Cc1ccccc1Cl
16397,1,C=C1CCC[C@]2(C)C=C3OC(=O)C(C)=C3C[C@@H]12
16396,1,C=C1CCC[C@]2(C)C=C3OC(=O)C(C)=C3C[C@@H]12
16398,1,C=C1CCC[C@]2(C)C[C@]3(O)OC(=O)C(C)=C3C[C@@H]12
16399,1,C=C1CCC[C@]2(C)C[C@]3(O)OC(=O)C(C)=C3C[C@@H]12
12215,0,C=CCN(CC=C)c1[nH]c2ccccc2c1C(=O)OC
1409,1,C=CCN(CC=C)c1[nH]c2ccccc2c1C(=O)OC
6454,0,C=CCNc1nc(NCCN2CCOCC2)nc(OC)n1
14005,0,C=CCNc1nc(NCCN2CCOCC2)nc(OC)n1
1599,1,C=CCn1c(=O)c2ccccc2n2c(SCC(=O)N3CCCc4ccccc43)nnc12
11431,0,C=CCn1c(=O)c2ccccc2n2c(SCC(=O)N3CCCc4ccccc43)nnc12
8127,0,C=CCn1c(O)c(CN2CCN(Cc3ccccc3)CC2)c(C)c(C#N)c1=O
13976,0,C=CCn1c(O)c(CN2CCN(Cc3ccccc3)CC2)c(C)c(C#N)c1=O
