chembl_id,SMILES,target_id,standard_type,standard_value,standard_units,standard_relation,assay_confidence_score,assay_organism,target_organism,,Label
CHEMBL44194,CCc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,CHEMBL230,IC50,100000,nM,>,,,Homo sapiens,,0
CHEMBL288773,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1Cc1ccc(F)cc1,CHEMBL230,IC50,100000,nM,>,,,Homo sapiens,,0
CHEMBL44068,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)[nH]1,CHEMBL230,IC50,100000,nM,>,,,Homo sapiens,,0
CHEMBL44367,CS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1Cl,CHEMBL230,IC50,100000,nM,>,,,Homo sapiens,,0
CHEMBL297409,CCCCn1c(C)ccc1-c1ccc(S(C)(=O)=O)cc1,CHEMBL230,IC50,100000,nM,>,,,Homo sapiens,,0
CHEMBL42801,Cc1c(CN(C)C)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,CHEMBL230,IC50,100000,nM,=,,,Homo sapiens,,0
CHEMBL43210,CS(=O)(=O)c1ccc(-c2cccn2-c2ccc(F)cc2)cc1,CHEMBL230,IC50,10200,nM,=,,,Homo sapiens,,0
CHEMBL298231,CS(=O)(=O)c1ccc(-c2ccc(CCC(=O)O)n2-c2ccc(F)cc2)cc1,CHEMBL230,IC50,100000,nM,>,,,Homo sapiens,,0
CHEMBL42121,CCS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1,CHEMBL230,IC50,100000,nM,>,,,Homo sapiens,,0
CHEMBL296307,Cc1ccc(-c2ccc(F)cc2)n1-c1ccc(S(C)(=O)=O)cc1,CHEMBL230,IC50,100000,nM,>,,,Homo sapiens,,0
CHEMBL43647,Cc1c(C(Oc2cccc(Cl)c2)C(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,CHEMBL230,IC50,100000,nM,>,,,Homo sapiens,,0
CHEMBL42120,O=S(=O)(c1ccccc1)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1,CHEMBL230,IC50,100000,nM,>,,,Homo sapiens,,0
CHEMBL298281,CNS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1,CHEMBL230,IC50,100000,nM,>,,,Homo sapiens,,0
CHEMBL43863,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1C(C)C,CHEMBL230,IC50,100000,nM,>,,,Homo sapiens,,0
CHEMBL44447,CS(=O)(=O)c1ccc(-c2ccc(C(F)(F)F)n2-c2ccc(F)cc2)cc1,CHEMBL230,IC50,100000,nM,>,,,Homo sapiens,,0
