,canonical_smiles
4866,O=c1c2ccccc2c(/C=N/NS(=O)(=O)c2ccccc2)c(O)n1-c1ccccn1
8815,COc1ccc(CC(=O)NC2CCN(CC(=O)Nc3ccc4c(c3)OCCO4)CC2)cc1OC
1281,c1ccc2sc(Oc3ccc(OCCN4CCCC4)cc3)nc2c1
10826,CC(=O)c1ccc(S(=O)(=O)NCCCC(=O)NCCc2ccccn2)cc1
3565,Cc1ccc2c(c1)Oc1ccc(NC(=O)CCl)cc1C(=O)N2
15237,COc1cc(/C=C/C(=O)CC(=O)CCc2ccc(O)c(OC)c2)ccc1O
512,CC(=O)N(C(C)=O)c1ncnc2c1c(-c1ccc(Cl)cc1)nn2C(C)(C)C
7451,CCn1c(N2CCN(C(=O)C34CC5CC(CC(C5)C3)C4)CC2)nc2ccccc21
2543,CCOC(=O)c1c2ccc(OCC(=O)NN)cc2n2ccccc12
4869,N#Cc1c2ccc(O)cc2n2ccccc12
13001,CCCCC#Cc1ccc(NC2CCN(C(=O)CCN3CCOCC3)CC2)c(C(N)=O)c1
1189,COc1ccc2cc(C(C)C(=O)NCCc3ccc(S(N)(=O)=O)cc3)ccc2c1
10817,COc1ccc(CC(=O)OCn2nnc3ccccc3c2=O)cc1
12874,CCOC(=O)/C=C1\SCC(=O)N1Cc1nnc(-c2ccccc2Br)o1
12679,CCOC(=O)C1(C)/C(=N/Nc2ccc(Cl)cc2)C(=O)C(=O)N1c1ccccc1
8328,CC(=O)Nc1cc2c(=O)n(Cc3ccccc3)c(C)nc2cc1N1CCOCC1
7179,O=C(NCc1ccccc1)NC1CC2CCC(C1)N2Cc1ccco1
9986,CCn1c(SCC(=O)Nc2cc(C)on2)nnc1-c1cccnc1
4872,CC(C)=CCc1c(O)c(CC=C(C)C)c2occ(-c3ccc(O)cc3)c(=O)c2c1O
14896,CC(C)=CCc1c(O)c(CC=C(C)C)c2occ(-c3ccc(O)c(O)c3)c(=O)c2c1O
14899,CC(C)=CCc1c(O)cc2occ(-c3ccc(O)cc3)c(=O)c2c1O
15209,COc1c(O)cc2occ(-c3ccc(O)cc3)c(=O)c2c1O
15228,COc1cc(-c2coc3cc(O)c(CC=C(C)C)c(O)c3c2=O)c(O)cc1O
15229,COc1cc(-c2coc3cc(O)c(CC=C(C)C)c(O)c3c2=O)c(OC)cc1O
15230,COc1cc(-c2coc3cc(O)cc(O)c3c2=O)ccc1O
15319,COc1cc2c(=O)c(-c3ccc(O)cc3)coc2cc1O
15362,COc1ccc(-c2coc3cc(O)c(CC=C(C)C)c(O)c3c2=O)c(O)c1
15363,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1
15364,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1O
15561,O=c1c(-c2ccc(O)c(O)c2)coc2cc(O)cc(O)c12
15563,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12
15564,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12
14520,COc1ccc(C(=O)Nc2c(Cl)cncc2Cl)cc1OC1CCCC1
252,O=C(c1ccsc1)N1CCN(C(=O)c2cccs2)CC1
317,Cc1cc(C)cc(OCC(=O)Nc2ccc(F)cc2)c1
3249,CCCCNC(=S)N(C)/N=C/c1ccc(OCC(=O)Nc2ccc(OC)cc2)c(OC)c1
6697,Cc1ccc(OCC(=O)Nc2ccc(N(C)C)cc2)cc1
12336,CCC(C)NC(=O)c1ccccc1NC(=O)COc1ccc(OC)cc1
12722,Cc1ccc(C)c(OCC(=O)Nc2cccc(C(=O)O)c2)c1C
4743,Cc1oc(-c2ccccc2Cl)nc1CN1CCCCC1c1cccnc1
6250,N#CC1=C(N)Oc2n[nH]c(-c3ccccc3)c2C1c1ccncc1
7059,COc1ccc(-c2[nH]nc3c2C(c2ccncc2)C(C#N)=C(N)O3)cc1
13291,CCCCCCCCOc1ccc(-c2nn(-c3ccc(Cl)cc3)cc2C=C2C(=O)NC(=O)NC2=O)cc1
13308,O=C1NC(=O)C(=Cc2cn(-c3ccc(Cl)cc3)nc2-c2ccccc2)C(=O)N1
13352,CCCCCCCCCCOc1ccc(-c2nn(-c3ccc(Cl)cc3)cc2C=C2C(=O)NC(=O)NC2=O)cc1
13359,CCCCCCOc1ccc(-c2nn(-c3ccc(Cl)cc3)cc2C=C2C(=O)NC(=O)NC2=O)cc1
13371,CCOc1ccc(-c2nn(-c3ccc(Cl)cc3)cc2C=C2C(=O)NC(=O)NC2=O)cc1
13445,CCCCOc1ccc(-c2nn(-c3ccccc3)cc2C=C2C(=O)NC(=O)NC2=O)cc1
13517,CCCCOc1ccc(-c2nn(-c3ccc(Cl)cc3)cc2C=C2C(=O)NC(=O)NC2=O)cc1
7733,Cc1ccc(-c2nnn(CC(=O)N(Cc3cccs3)C(C(=O)NC3CCCC3)c3ccco3)n2)o1
12146,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)OCC(=O)Nc1c(C)n(C)n(-c2ccccc2)c1=O
4197,O=C(Nc1ccc(Oc2ccc(Cl)cc2)c(Cl)c1)c1cc(I)cc(I)c1O
1917,Cc1cccc(C(=O)NNC(=O)Nc2ccccc2)c1
5493,CC(C)(C)N(NC(=O)Nc1ccccc1)C(=O)c1ccccc1Cl
11211,CC(C)(C)N(NC(=O)Nc1ccc(Cl)c(Cl)c1)C(=O)c1ccccc1
8873,CCOCC(=O)Nc1nnc(Cc2ccc(OC)c(OC)c2)s1
12057,CCOCC(=O)Nc1nnc(Cc2ccc(OC)cc2)s1
3016,CCN(CC)c1ccc(N2C(=O)/C(=C/c3cccnc3)SC2=S)cc1
1685,O=[N+]([O-])c1cc2c(cc1/C=N/Nc1nc(Nc3ccccc3)nc(N3CCCCC3)n1)OCO2
14274,Cc1ccc(S(=O)(=O)N2CCC(C(=O)Nc3cccc4cccnc34)CC2)c(C)c1
1648,C/C(=N\NC(=O)CC1N=C(Cc2ccccc2)NNC1=O)c1ccc(C)cc1
1162,CC(C)Cc1ccc(C(C)c2nc3cc(-c4nnco4)ccc3n2Cc2ccccc2Cl)cc1
5995,CC(=O)Nc1ccc(S(=O)(=O)N2C3CCCC2CC(NC(=O)C2CCCCC2)C3)cc1
4362,Cc1ccc(S(=O)(=O)n2cc(-c3ccccc3)c3ccccc32)cc1
13658,CN1CCN(Cc2ccc(-c3cn4c5nc(ncc35)NCCCCCCNC(=O)[C@@H](N)CCC4)cc2)CC1
3889,O=C1C=C(N2CCOCC2)c2ccccc2C1=O
2886,Cc1cc(C)c(C(N)=O)c(Nc2cccc3ccccc23)n1
11385,O=C(O)c1ccc(NC(=S)Nc2ccc3c(c2)CCN3Cc2ccc(F)cc2)cc1
11991,Fc1ccc(CN2CCc3cc(NC(=S)Nc4ccccc4)ccc32)cc1
5441,CO/N=C/C(=N\Nc1ccc(OC)cc1)C(=O)c1ccc(OC)cc1
