Index,ligand,role,best_pose_rank,affinity (kcal/mol),Ki_estimated (M),All_Poses_Affinity_and_RMSD
2515,stage_wise6_2515,Test,1,-8.766,3.80E-07,N/A
3591,stage_wise3_3591,Test,1,-8.584,5.17E-07,N/A
765,stage_wise26_765,Test,1,-8.08,1.21E-06,N/A
4438,stage_wise17_4438,Test,1,-7.603,2.70E-06,N/A
3859,stage_wise8_3859,Test,1,-7.6,2.72E-06,N/A
26,stage_wise25_26,Test,1,-7.377,3.96E-06,N/A
4421,stage_wise14_4421,Test,1,-7.275,4.70E-06,N/A
5651,stage_wise21_5651,Test,1,-7.135,5.95E-06,N/A
4456,stage_wise18_4456,Test,1,-7.107,6.24E-06,N/A
1705,stage_wise2_1705,Test,1,-7.105,6.26E-06,N/A
4186,stage_wise23_4186,Test,1,-6.97,7.86E-06,N/A
2706,stage_wise7_2706,Test,1,-6.968,7.89E-06,N/A
4328,stage_wise24_4328,Test,1,-6.916,8.61E-06,N/A
4077,stage_wise12_4077,Test,1,-6.855,9.54E-06,N/A
1353,stage_wise27_1353,Test,1,-6.838,9.82E-06,N/A
1338,stage_wise4_1338,Test,1,-6.805,1.04E-05,N/A
3864,stage_wise9_3864,Test,1,-6.784,1.08E-05,N/A
1521,stage_wise28_1521,Test,1,-6.749,1.14E-05,N/A
2369,stage_wise5_2369,Test,1,-6.727,1.18E-05,N/A
6668,stage_wise1_6668,Test,1,-6.592,1.49E-05,N/A
3900,stage_wise10_3900,Test,1,-6.581,1.52E-05,N/A
4501,stage_wise20_4501,Test,1,-6.299,2.44E-05,N/A
3892,stage_wise22_3892,Test,1,-6.239,2.70E-05,N/A
4422,stage_wise15_4422,Test,1,-6.236,2.71E-05,N/A
4427,stage_wise16_4427,Test,1,-6.235,2.71E-05,N/A
4420,stage_wise13_4420,Test,1,-6.19,2.93E-05,N/A
4053,stage_wise11_4053,Test,1,-6.136,3.21E-05,N/A
4467,stage_wise19_4467,Test,1,-6.081,3.52E-05,N/A
