Index,canonical_smiles,True label,skin_toxicity,skin_toxicity_note,carcinogenicity,carcinogenicity_note,XGB_ECFP_prob,XGB_MACCS_prob,XGB_RDKIT_prob,BiLSTM_ECFP_prob,BiLSTM_MACCS_prob,BiLSTM_RDKIT_prob,sa_score,pass_ml,Predicted label,pass_toxicity,pass_sa_2,select_for_docking_sa2
465,Nc1c(C(=O)N2CCOCC2)sc2nc3c(cc12)CCCC3,1,"Non-corrosive, Non-irritant, Sensitizer",1,carcinogen,1,0.628753304,0.565922201,0.913524032,0.997409701,0.293121189,0.51394558,2.466409174,no,0,no,no,no
7593,COC(=O)[C@]1(O)C[C@@H](O)[C@@H](O)[C@H](OC(=O)/C=C/c2ccc(O)c(OC)c2)C1,1,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.968913734,0.962902248,0.996540606,0.999999881,0.998942137,0.999999225,3.801721943,yes,1,yes,no,no
12405,O=C(NCc1cccnc1)c1cn(CCc2ccccc2)nn1,0,"Non-corrosive, Non-irritant, Sensitizer",1,carcinogen,1,0.098795108,0.069070101,0.022192664,1.59E-06,0.083727166,0.002261172,2.011479592,no,0,no,no,no
8854,O=c1cc(CSc2nnc(-c3ccco3)o2)c2ccccc2[nH]1,0,"Non-corrosive, Non-irritant, Sensitizer",1,carcinogen,1,0.09661442,0.060607824,0.044815578,0.999391973,0.001084938,0.862173855,2.383413755,no,0,no,no,no
2301,CCN(CC)S(=O)(=O)c1ccc2c3c(cccc13)C(=O)S2,1,"Non-corrosive, Non-irritant, Sensitizer",1,non-carcinogen,0,0.657504499,0.462635368,0.69799614,0.891966581,0.052040778,0.92623502,2.528514443,no,0,no,no,no
8934,COCCCNS(=O)(=O)c1ccc2c3c(cccc13)C(=O)S2,0,"Non-corrosive, Non-irritant, Sensitizer",1,non-carcinogen,0,0.529578209,0.144961119,0.27283892,9.71E-06,0.301821709,0.991202354,2.508666533,no,0,no,no,no
12169,Cc1ccc(O)c(CNc2ccccn2)c1,0,"Non-corrosive, Non-irritant, Sensitizer",1,non-carcinogen,0,0.457263172,0.270694166,0.240998492,0.000266697,0.125414535,0.002659777,1.880106669,no,0,no,yes,no
15522,COC(=O)c1cc(C#N)c(NCc2ccc(Cl)cc2Cl)nc1C,0,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.404870093,0.303169101,0.103177406,0.037190519,0.90051353,0.201529741,2.289137575,no,0,yes,no,no
9887,O=C(CSc1nnnn1-c1ccc2c(c1)OCCO2)c1cccc2c1OCCO2,0,"Non-corrosive, Non-irritant, Sensitizer",1,non-carcinogen,0,0.072714202,0.185966894,0.05505972,7.75E-07,0.292545587,0.074375711,2.562000163,no,0,no,no,no
10847,CC1=C(C(=O)OC(C)C)C(C)NC(=O)N1,0,"Non-corrosive, Non-irritant, Non-sensitizer",0,non-carcinogen,0,0.35290578,0.102078177,0.027875237,6.64E-05,0.000621431,0.000396736,2.907845657,no,0,yes,no,no
