Index,canonical_smiles
12169,Cc1ccc(O)c(CNc2ccccn2)c1
8444,CCN(CC(=O)Nc1ccc(S(=O)(=O)N2CCCCC2)cc1)Cc1ccccc1
9108,O=C(NCc1ccco1)c1cccs1
9169,CC(C)Oc1cccc(C(=O)Nc2ccccc2N2CCOCC2)c1
3261,COc1ccc(CCNC(=O)c2cccc([N+](=O)[O-])c2)cc1OC
2919,Cc1cccc(OCCN2C(=O)C(=O)c3cc(C)ccc32)c1
3391,COc1ccc(Nc2nccc(-c3cccc(N)c3)n2)cc1
1044,Clc1ccc(-c2nnc(-c3ccco3)o2)cc1
11649,Clc1cccc(Cl)c1COc1ccccn1
13368,O=C(c1ccc2ccccc2c1)N1CCN(c2ccc(O)cc2)CC1
13820,CSc1ncccc1C(=O)OCc1ccccc1F
9581,COC(=O)c1cn(CC(=O)NC2CCCCC2)c2ccccc12
8457,COc1ccccc1CNC(=O)COC(=O)CNC(=O)c1ccc(-c2ccccc2)cc1
2322,Cc1ccc(-c2cccc(C(=O)NCc3ccccc3)n2)c2ccccc12
9060,CCCn1nnnc1SCC(=O)Nc1ccc(F)cc1
10610,COC(=O)c1ccc(Cn2cc(Cl)cn2)cc1
12188,Cc1cnn(Cc2ccccc2)c1N
13871,O=C(O)c1cccc(Cn2cc(Cl)cn2)c1
10063,COc1ccc(C)cc1S(=O)(=O)N1CCC(C)CC1
10995,CCOc1cc(S(=O)(=O)N2CCCCC2)ccc1Cl
15397,CCC(=O)Nc1ccc(S(=O)(=O)N2CCCCC2)cc1OC
15890,COc1ccc(F)cc1S(=O)(=O)N1CCC(C(N)=O)CC1
15929,O=S(=O)(c1cc(Cl)ccc1Cl)N1CCCCC1
12232,O=C(O)CCSc1nnnn1-c1ccccc1
12237,Cc1ccc(SCCC(=O)N2CCC(C(N)=O)CC2)cc1
1815,NS(=O)(=O)c1ccc(NS(=O)(=O)c2ccc(NC(=O)c3ccc(-c4ccccc4)cc3)cc2)cc1
385,O=C(c1ccccc1)c1cc(-c2ccccc2)on1
14376,O=C1c2cccc3cccc(c23)N1Cc1cccc(F)c1
14437,O=C1c2cccc3cccc(c23)N1Cc1ccc(F)cc1
14601,NNC(=O)c1ccc(CN2C(=O)c3cccc4cccc2c34)cc1
11316,CS(=O)(=O)Nc1ccccc1C(=O)N1CCCC1
6668,O=C(NCc1ccc(Cl)cc1Cl)N1CCN(c2ccccn2)CC1
14465,CCCCCCOc1ccc(Cc2ccccc2)c2ccccc12
181,O=C(COc1ccccc1Cl)NCc1ccco1
8753,O=C(COc1ccc(Cl)cc1Cl)NCc1ccco1
11521,COc1ccccc1OCC(=O)NCc1ccco1
8774,O=c1sc2ccccc2n1CCOc1ccccc1
15652,COc1ccccc1OCCn1c(=O)sc2ccccc21
13422,CN(C(=O)COC(=O)COc1ccc(Cl)cc1)C1CCCCC1
11251,O=C(O)c1cccc(S(=O)(=O)NCc2cccs2)c1
9996,COC(=O)C1CCN(S(=O)(=O)Cc2ccccc2)CC1
13926,O=C(CCc1ccc(-c2cccs2)cc1)N1CCCC1
491,COc1ccccc1C(=O)NCCC(=O)Nc1nc2ccccc2[nH]1
4803,COc1ccccc1NC(=O)N1CCN(c2ccccn2)CC1
14700,O=C(CCC1CCC(Oc2ccccc2)CC1)N1CCCC1
2269,Cc1cccc(NC(=O)Nc2ccc(C#N)cc2)n1
14972,COc1ccccc1NC(=O)c1nn(-c2ccccc2)ccc1=O
455,COc1ccc(C(=O)Nc2ccc3ccccc3n2)c(OC)c1OC
85,COc1ccccc1OCC(=O)NCC1CCCCC1
11118,O=C(Nc1ccc(N2CCOCC2)c(Cl)c1)c1cccnc1
45,O=C(Nc1ccc2c(c1)oc1ccccc12)N1CCOCC1
9371,CCOC(=O)N1CCN(C(=O)Nc2ccccc2Cl)CC1
3284,O=C(C#Cc1ccccc1)Nc1cccc(F)c1
