Index,Label
12169,0
8444,0
9108,0
9169,0
3261,1
2919,1
3391,1
1044,1
11649,0
13368,0
13820,0
9581,0
8457,0
2322,1
9060,0
10610,0
12188,0
13871,0
10063,0
10995,0
15397,0
15890,0
15929,0
12232,0
12237,0
1815,1
385,1
14376,0
14437,0
14601,0
11316,0
6668,1
14465,0
181,1
8753,0
11521,0
8774,0
15652,0
13422,0
11251,0
9996,0
13926,0
491,1
4803,1
14700,0
2269,1
14972,0
455,1
85,1
11118,0
45,1
9371,0
3284,1
9296,0
13954,0
14002,0
1705,1
5898,1
3591,1
11160,0
9223,0
12519,0
3266,1
9212,0
3597,1
3599,1
11578,0
9261,0
4089,1
9425,0
10644,0
3888,1
12192,0
10736,0
15369,0
10370,0
15683,0
1108,1
11337,0
59,1
15335,0
14854,0
9825,0
13415,0
13872,0
427,1
207,1
1338,1
2369,1
2515,1
2701,1
4884,1
10110,0
10940,0
14217,0
14238,0
14247,0
14636,0
14706,0
1426,1
10022,0
9313,0
9699,0
9634,0
8616,0
15909,0
11301,0
1574,1
15171,0
15177,0
15254,0
8750,0
8619,0
9015,0
9131,0
4441,1
12632,0
15330,0
8798,0
2706,1
12187,0
10270,0
218,1
1064,1
1066,1
10496,0
11533,0
14967,0
15260,0
9661,0
1754,1
13578,0
1094,1
11816,0
2967,1
11832,0
8564,0
3859,1
3864,1
3900,1
4053,1
4077,1
4420,1
4421,1
4422,1
4427,1
4428,1
4438,1
4454,1
4456,1
4467,1
4476,1
4485,1
4501,1
4519,1
9023,0
15800,0
11957,0
9625,0
8522,0
14594,0
11222,0
9978,0
9227,0
10852,0
14395,0
14508,0
14622,0
14705,0
14866,0
13852,0
4790,1
14263,0
15313,0
9125,0
5651,1
271,1
11019,0
3892,1
4186,1
4328,1
3093,1
9007,0
4446,1
2232,1
10921,0
8827,0
12407,0
8569,0
13837,0
9152,0
1014,1
8539,0
15173,0
15245,0
12446,0
12688,0
15843,0
9355,0
1620,1
9145,0
15580,0
4912,1
2255,1
199,1
16,1
14017,0
15127,0
15242,0
10855,0
15032,0
2806,1
2958,1
14782,0
1512,1
175,1
272,1
8839,0
12500,0
8835,0
13656,0
15864,0
8888,0
498,1
1445,1
4829,1
15826,0
5098,1
10143,0
221,1
9017,0
11111,0
1090,1
478,1
956,1
9850,0
1067,1
11437,0
26,1
14671,0
15813,0
4852,1
8775,0
8927,0
13909,0
10694,0
15243,0
7982,1
8182,1
8183,1
15505,0
9422,0
4573,1
2980,1
4928,1
13287,0
927,1
1235,1
10455,0
13378,0
2173,1
15602,0
10218,0
8612,0
8658,0
9776,0
905,1
9336,0
765,1
10072,0
9431,0
8982,0
1406,1
8613,0
120,1
10692,0
12868,0
13278,0
1353,1
1521,1
2049,1
15748,0
10076,0
4958,1
5597,1
518,1
10394,0
1262,1
13430,0
4,1
12014,0
1548,1
10760,0
1341,1
1391,1
1123,1
11115,0
183,1
12137,0
